name_of_disease,abbreviation_of_disease,type_of_disease,notes_of_disease,phenotype,organ_affected,cheblid_of_biomarker,description_of_biomarker,fullname_of_biomarker,abbreviation_of_biomarker,inchikey_of_biomarker,inchistring_of_biomarker,keggid_of_biomarker,casregistry_of_biomarker,value_of_biomarker,normal_conc_of_biomarker,ramedis_of_biomarker,range_conc_of_biomarker,biocyc_biomarker,smile_biomarker,hmdb_biomarker,reconMap3_biomarker,food_db_biomarker,pubChemId_biomarker
Glycine Encephalopathy/ Nonketotic Hyperglycinemia,NKH,Inherited metabolic disorder,"About 80 percent of cases of glycine encephalopathy result from mutations in the GLDC gene, while AMT mutations cause 10 percent to 15 percent of all cases. Mutations in either the AMT or GLDC gene prevent the complex from breaking down glycine properly. Increased levels of glycine in plasma and urine","1) Neonatal (classic) presentation-The neonatal form of glycine encephalopathy manifests in the first hours to days of life with progressive lethargy, hypotonia, and myoclonic jerks leading to apnea and often death if not supported by intubation and ventilation.  2) Infantile presentation- These infants do not have lethargy and coma in the neonatal period, but often have a history of hypotonia from early on. They present with developmental delay and infantile-onset seizures that can be mild or increasingly difficult to treat. 3) Severe outcome-Affected individuals do not make developmental progress or at most learn to sit with very limited interaction with their environment (DQ <20). 4) Mild outcome. Affected individuals make developmental progress to a variable degree (DQ 20-65). 5) Atypical forms range from milder disease, with onset from late infancy to adulthood, to rapidly progressing and severe disease with late onset. 6) The mild episodic form was reported in four children with mild intellectual disability and episodes of chorea, agitated delirium, and vertical gaze palsy associated with febrile illness [Steiner et al 1996]. 7)The late-onset form has been described in seven individuals.",Nervous system,15428,"Human Metabolome Database (HMDB): Glycine is a simple, nonessential amino acid, although experimental animals show reduced growth on low-glycine diets. The average adult ingests 3 to 5 grams of glycine daily. Glycine is involved in the body's production of DNA, phospholipids and collagen, and in release of energy. Glycine levels are effectively measured in plasma in both normal patients and those with inborn errors of glycine metabolism (http://www.dcnutrition.com/AminoAcids/). Nonketotic hyperglycinaemia (OMIM 606899) is an autosomal recessive condition caused by deficient enzyme activity of the glycine cleavage enzyme system (EC 2.1.1.10). The glycine cleavage enzyme system comprises four proteins: P-, T-, H- and L-proteins (EC 1.4.4.2, EC 2.1.2.10 and EC 1.8.1.4 for P-, T- and L-proteins). Mutations have been described in the GLDC (OMIM 238300), AMT (OMIM 238310), and GCSH (OMIM 238330) genes encoding the P-, T-, and H-proteins respectively. The glycine cleavage system catalyses the oxidative conversion of glycine into carbon dioxide and ammonia, with the remaining one-carbon unit transferred to folate as methylenetetrahydrofolate. It is the main catabolic pathway for glycine and it also contributes to one-carbon metabolism. Patients with a deficiency of this enzyme system have increased glycine in plasma, urine and cerebrospinal fluid (CSF) with an increased CSF: plasma glycine ratio (PMID 16151895). Glycine is also found to be associated with carbamoyl phosphate synthetase deficiency, iminoglycinuria, maple syrup urine disease, phenylketonuria, propionic acidemia, sarcosinemia, and tyrosinemia I, which are inborn errors of metabolism.",Glycine,gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",C00037,56-40-6,Increased,180.00-740.00,,550.00-1350.00,GLY,[H][N+]([H])([H])C([H])([H])C([O-])=O,HMDB0000123,gly,FDB000484,750
Gyrate Atrophy of the Choroid And Retina,GACR,Inherited metabolic disorder,"Decreased activity of ornithine-delta-aminotransferase in fibroblast. In plasma increased ornithine and low levels of glutamic acid, glutamine, lysine. Increased ornithine in CSF. In urine- increased levels of 2-aminopiperid-2-one, arginine, lysine, and ornithine.",,"Muscle, eye",17203,"Human Metabolome Database (HMDB): L-proline is one of the twenty amino acids used in living organisms as the building blocks of proteins. Proline is sometimes called an imino acid, although the IUPAC definition of an imine requires a carbon-nitrogen double bond. Proline is a non-essential amino acid that is synthesized from glutamic acid. It is an essential component of collagen and is important for proper functioning of joints and tendons. Proline is derived from the amino acid L-glutamate in which glutamate-5-semialdehyde is first formed by glutamate 5-kinase and glutamate-5-semialdehyde dehydrogenase (which requires NADH or NADPH). This semialdehyde can then either spontaneously cyclize to form 1-pyrroline-5-carboxylic acid, which is reduced to proline by pyrroline-5-carboxylate reductase, or turned into ornithine by ornithine aminotransferase, followed by cyclization by ornithine cyclodeaminase to form proline. L-Proline has been found to act as a weak agonist of the glycine receptor and of both NMDA and non-NMDA ionotropic glutamate receptors. It has been proposed to be a potential endogenous excitotoxin/neurotoxin. Studies in rats have shown that when injected into the brain, proline non-selectively destroys pyramidal and granule cells (PMID: 3409032). Therefore, under certain conditions proline can act as a neurotoxin and a metabotoxin. A neurotoxin causes damage to nerve cells and nerve tissues. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of proline are associated with at least five inborn errors of metabolism, including hyperprolinemia type I, hyperprolinemia type II, iminoglycinuria, prolinemia type II, and pyruvate carboxylase deficiency. People with hyperprolinemia type I often do not show any symptoms even though they have proline levels in their blood between 3 and 10 times the normal level. Some individuals with hyperprolinemia type I exhibit seizures, intellectual disability, or other neurological or psychiatric problems. Hyperprolinemia type II results in proline levels in the blood between 10 and 15 times higher than normal, and high levels of a related compound called pyrroline-5-carboxylate. Hyperprolinemia type II has signs and symptoms that vary in severity, and is more likely than type I to involve seizures or intellectual disability.",L-Proline,pro_L,ONIBWKKTOPOVIA-BYPYZUCNSA-N,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",C00148,147-85-3,Increased,95.00 - 320.00,,830-1360,PRO,[H]C1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([O-])=O)C1([H])[H],HMDB0000162,pro_L,FDB000570,145742
Maple Syrup Urine Disease,MSUD,Inherited metabolic disorder,"In plasma increased levels of allo-isoleucine, ile, leu and val. In urine-abonormal metabolites like methylvaleric acid, hydroxyisocaproic acid, ile etc. Fecl3 test-green","1) Classic and intermediate MSUD. 2)There are 5 clinical subtypes of MSUD: the 'classic' neonatal severe form, an 'intermediate' form, an 'intermittent' form, a 'thiamine-responsive' form, and an 'E3-deficient with lactic acidosis' form. Strict genotype-phenotype correlations are not easily defined. Central respiratory failure.",Nervous system,16414,"Human Metabolome Database (HMDB): Valine (abbreviated as Val or V) is an -amino acid with the chemical formula HO2CCH(NH2)CH(CH3)2. It is named after the plant valerian. L-Valine is one of 20 proteinogenic amino acids. Its codons are GUU, GUC, GUA, and GUG. This essential amino acid is classified as nonpolar. Along with leucine and isoleucine, valine is a branched-chain amino acid. Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. ""BCAA"" denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. Many types of inborn errors of BCAA metabolism exist, and are marked by various abnormalities. The most common form is the maple syrup urine disease, marked by a characteristic urinary odor. Other abnormalities are associated with a wide range of symptoms, such as mental retardation, ataxia, hypoglycemia, spinal muscle atrophy, rash, vomiting and excessive muscle movement. Most forms of BCAA metabolism errors are corrected by dietary restriction of BCAA and at least one form is correctable by supplementation with 10 mg of biotin daily. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt; aromatic amino acids (AAA)â€”tyrosine, tryptophan and phenylalanine, as well as methionineâ€”are increased in these conditions. Valine in particular, has been established as a useful supplemental therapy to the ailing liver. All the BCAA probably compete with AAA for absorption into the brain. Supplemental BCAA with vitamin B6 and zinc help normalize the BCAA:AAA ratio (http://www.dcnutrition.com). In sickle-cell disease, valine substitutes for the hydrophilic amino acid glutamic acid in hemoglobin. Because valine is hydrophobic, the hemoglobin does not fold correctly. Hypervalinemia is another example of an inborn error of metabolism involving Valine. Valine is an essential amino acid, hence it must be ingested, usually as a component of proteins.",L-Valine,val_L,KZSNJWFQEVHDMF-BYPYZUCNSA-N,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",C00183,72-18-4,Increased,65.00-215,"125, 133, 337",210.00 - 650.00,VAL,[H]C([H])([H])C([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000883,val_L,FDB000465,6287
Neonatal Intrahepatic Cholestasis caused by Citrin Deficiency,NICCD,Inherited metabolic disorder,"Blood-elevated acetylcarnitine (C2), palmitoylcarnitine (C16), phenylalanine, propionylcarnitine (C3), stearoylcarnitine (C18). In plasma-increased alpha-fetoprotein, free carnitine, citrulline, met, thr, and tyr. Bilirubin, galactose, and protein increased in serum. 4-hydroxyphenyllactic acid in urine.",The two phenotypes of citrin deficiency are citrullinemia type II (CTLN2) and neonatal intrahepatic cholestasis caused by citrin deficiency (NICCD) .,Liver,16857,"Human Metabolome Database (HMDB): Threonine is an essential amino acid in humans. It is abundant in human plasma, particularly in newborns. Severe deficiency of threonine causes neurological dysfunction and lameness in experimental animals. Threonine is an immunostimulant which promotes the growth of thymus gland. It also can probably promote cell immune defense function. This amino acid has been useful in the treatment of genetic spasticity disorders and multiple sclerosis at a dose of 1 gram daily. It is highly concentrated in meat products, cottage cheese and wheat germ. (http://www.dcnutrition.com/AminoAcids/) The threonine content of most of the infant formulas currently on the market is approximately 20% higher than the threonine concentration in human milk. Due to this high threonine content the plasma threonine concentrations are up to twice as high in premature infants fed these formulas than in infants fed human milk. The whey proteins which are used for infant formulas are sweet whey proteins. Sweet whey results from cheese production. Threonine catabolism in mammals appears to be due primarily (70-80%) to the activity of threonine dehydrogenase (EC 1.1.1.103) that oxidizes threonine to 2-amino-3-oxobutyrate, which forms glycine and acetyl CoA, whereas threonine dehydratase (EC 4.2.1.16) that catabolizes threonine into 2-oxobutyrate and ammonia, is significantly less active. Increasing the threonine plasma concentrations leads to accumulation of threonine and glycine in the brain. Such accumulation affects the neurotransmitter balance which may have consequences for the brain development during early postnatal life. Thus, excessive threonine intake during infant feeding should be avoided. (PMID 9853925).",L-Threonine,thr_L,AYFVYJQAPQTCCC-GBXIJSLDSA-N,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",C00188,72-19-5,Increased,25 - 150,,,THR,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000167,thr_L,FDB011999,6288
Hypermethioninemia,HMET,Inherited metabolic disorder,"A deficiency of any of these enzymes (i.e. MAT1A gene provides instructions for producing the enzyme methionine adenosyltransferase, GNMT gene provides instructions for making the enzyme glycine N-methyltransferase, AHCY gene provides instructions for producing the enzyme S-adenosylhomocysteine hydrolase) results in a build-up of methionine in the body, and may cause signs and symptoms related to hypermethioninemia. In plasma-increased homocysteine and methionine. In urine-increased methionine.",,"Nervous system,  liver,  muscle",16643,"Human Metabolome Database (HMDB): Methionine is an essential amino acid (there are 9 essential amino acids) required for normal growth and development of humans, other mammals, and avian species. In addition to being a substrate for protein synthesis, it is an intermediate in transmethylation reactions, serving as the major methyl group donor in vivo, including the methyl groups for DNA and RNA intermediates. Methionine is a methyl acceptor for 5-methyltetrahydrofolate-homocysteine methyltransferase (methionine synthase), the only reaction that allows for the recycling of this form of folate, and is also a methyl acceptor for the catabolism of betaine. Methionine is the metabolic precursor for cysteine. Only the sulfur atom from methionine is transferred to cysteine; the carbon skeleton of cysteine is donated by serine (PMID: 16702340). There is a general consensus concerning normal sulfur amino acid (SAA) requirements. WHO recommendations amount to 13 mg/kg per 24 h in healthy adults. This amount is roughly doubled in artificial nutrition regimens. In disease or after trauma, requirements may be altered for methionine, cysteine, and taurine. Although in specific cases of congenital enzyme deficiency, prematurity, or diminished liver function, hypermethioninemia or hyperhomocysteinemia may occur, SAA supplementation can be considered safe in amounts exceeding 2-3 times the minimum recommended daily intake. Apart from some very specific indications (e.g. acetaminophen poisoning) the usefulness of SAA supplementation is not yet established (PMID: 16702341). Methionine is known to exacerbate psychopathological symptoms in schizophrenic patients, but there is no evidence of similar effects in healthy subjects. The role of methionine as a precursor of homocysteine is the most notable cause for concern. Acute doses of methionine can lead to acute increases in plasma homocysteine, which can be used as an index of the susceptibility to cardiovascular disease. Sufficiently high doses of methionine can actually result in death. Longer-term studies in adults have indicated no adverse consequences of moderate fluctuations in dietary methionine intake, but intakes higher than 5 times the normal amount resulted in elevated homocysteine levels. These effects of methionine on homocysteine and vascular function are moderated by supplements of vitamins B-6, B-12, C, and folic acid (PMID: 16702346). When present in sufficiently high levels, methionine can act as an atherogen and a metabotoxin. An atherogen is a compound that when present at chronically high levels causes atherosclerosis and cardiovascular disease. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of methionine are associated with at least ten inborn errors of metabolism, including cystathionine beta-synthase deficiency, glycine N-methyltransferase deficiency, homocystinuria, tyrosinemia, galactosemia, homocystinuria-megaloblastic anemia due to defects in cobalamin metabolism, methionine adenosyltransferase deficiency, methylenetetrahydrofolate reductase deficiency, and S-adenosylhomocysteine (SAH) hydrolase deficiency. Chronically elevated levels of methionine in infants can lead to intellectual disability and other neurological problems, delays in motor skills, sluggishness, muscle weakness, and liver problems. Many individuals with these metabolic disorders tend to develop cardiovascular disease later in life. Studies on feeding rodents high levels of methionine have shown that methionine promotes atherosclerotic plaques independently of homocysteine levels (PMID: 26647293). A similar study in Finnish men showed the same effect (PMID: 16487911).",L-Methionine,met_L,FFEARJCKVFRZRR-BYPYZUCNSA-N,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",C00073,63-68-3,Increased,10.00-38.00,,56.00 -170.00,MET,[H]C([H])([H])SC([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000696,met_L,FDB012683,6137
Homocystinuria,HCYS,Inherited metabolic disorder,"Less common forms cause megaloblastic anaemia. Mutations in the CBS gene cause the most common form of homocystinuria. Rarely, homocystinuria can be caused by mutations in several other genes. The enzymes made by the MTHFR, MTR, MTRR, and MMADHC genes play roles in converting homocysteine to methionine. Mutations in any of these genes prevent the enzymes from functioning properly, which leads to a build-up of homocysteine in the body. In plasma-increased ceruloplasmin, coagulation factors, copper, homocysteine, homocystine, methionine, and ornithine. In urine-increased cystathionine, homocysteine, and homocystine. PMID: 16601895: hypoglycemia happens during fasting. The combination of normal acylcarnitines in dried blood spots and the absence of urinary ketone bodies has been stated to indicate the diagnosis (PMID: 12072887).","Two complementation groups have been described for mutation in MTRR gene based on fibroblast studies: 1) CblE, i.e., homocystinuria-megaloblastic anemia, cblE complementation type and 2) CblG, i.e., homocystinuria-megaloblastic anemia, cblG. Most patients of cblG present in early infancy, but some patients have also shown later onset.","Nervous system,  skeletal system",16643,"Human Metabolome Database (HMDB): Methionine is an essential amino acid (there are 9 essential amino acids) required for normal growth and development of humans, other mammals, and avian species. In addition to being a substrate for protein synthesis, it is an intermediate in transmethylation reactions, serving as the major methyl group donor in vivo, including the methyl groups for DNA and RNA intermediates. Methionine is a methyl acceptor for 5-methyltetrahydrofolate-homocysteine methyltransferase (methionine synthase), the only reaction that allows for the recycling of this form of folate, and is also a methyl acceptor for the catabolism of betaine. Methionine is the metabolic precursor for cysteine. Only the sulfur atom from methionine is transferred to cysteine; the carbon skeleton of cysteine is donated by serine (PMID: 16702340). There is a general consensus concerning normal sulfur amino acid (SAA) requirements. WHO recommendations amount to 13 mg/kg per 24 h in healthy adults. This amount is roughly doubled in artificial nutrition regimens. In disease or after trauma, requirements may be altered for methionine, cysteine, and taurine. Although in specific cases of congenital enzyme deficiency, prematurity, or diminished liver function, hypermethioninemia or hyperhomocysteinemia may occur, SAA supplementation can be considered safe in amounts exceeding 2-3 times the minimum recommended daily intake. Apart from some very specific indications (e.g. acetaminophen poisoning) the usefulness of SAA supplementation is not yet established (PMID: 16702341). Methionine is known to exacerbate psychopathological symptoms in schizophrenic patients, but there is no evidence of similar effects in healthy subjects. The role of methionine as a precursor of homocysteine is the most notable cause for concern. Acute doses of methionine can lead to acute increases in plasma homocysteine, which can be used as an index of the susceptibility to cardiovascular disease. Sufficiently high doses of methionine can actually result in death. Longer-term studies in adults have indicated no adverse consequences of moderate fluctuations in dietary methionine intake, but intakes higher than 5 times the normal amount resulted in elevated homocysteine levels. These effects of methionine on homocysteine and vascular function are moderated by supplements of vitamins B-6, B-12, C, and folic acid (PMID: 16702346). When present in sufficiently high levels, methionine can act as an atherogen and a metabotoxin. An atherogen is a compound that when present at chronically high levels causes atherosclerosis and cardiovascular disease. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of methionine are associated with at least ten inborn errors of metabolism, including cystathionine beta-synthase deficiency, glycine N-methyltransferase deficiency, homocystinuria, tyrosinemia, galactosemia, homocystinuria-megaloblastic anemia due to defects in cobalamin metabolism, methionine adenosyltransferase deficiency, methylenetetrahydrofolate reductase deficiency, and S-adenosylhomocysteine (SAH) hydrolase deficiency. Chronically elevated levels of methionine in infants can lead to intellectual disability and other neurological problems, delays in motor skills, sluggishness, muscle weakness, and liver problems. Many individuals with these metabolic disorders tend to develop cardiovascular disease later in life. Studies on feeding rodents high levels of methionine have shown that methionine promotes atherosclerotic plaques independently of homocysteine levels (PMID: 26647293). A similar study in Finnish men showed the same effect (PMID: 16487911).",L-Methionine,met_L,FFEARJCKVFRZRR-BYPYZUCNSA-N,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",C00073,63-68-3,Increased,10.00-38.00,,56.00 -525.00,MET,[H]C([H])([H])SC([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000696,met_L,FDB012683,6137
Phenylketonuria,PKU,Inherited metabolic disorder,"Plasma phenylalanine and phe/tyr increased; urine-increased excretion of 2-hydroxyphenylacetic acid, phenyl lactic acid and phenyl pyruvic acid. Fecl3 test-green. The phenotypes mentioned is a simple classification on the basis of clnical diagnosis. PAH deficiency is a 'complex' disorder at the cognitive and metabolic levels. It is  difficult to assess clinical phenotypes.","Phenylketonuria (PKU), Non-PKU hyperphenylalaninemia (non-PKU HPA), and Variant PKU. Many studies indicate that PKU patients have a high incidence of osteopenia.",Nervous system,17295,"Human Metabolome Database (HMDB): Phenylalanine is an essential amino acid and the precursor of the amino acid tyrosine. Like tyrosine, phenylalanine is also a precursor for catecholamines including tyramine, dopamine, epinephrine, and norepinephrine. Catecholamines are neurotransmitters that act as adrenalin-like substances. Interestingly, several psychotropic drugs (mescaline, morphine, codeine, and papaverine) also have phenylalanine as a constituent. Phenylalanine is highly concentrated in the human brain and plasma. Normal metabolism of phenylalanine requires biopterin, iron, niacin, vitamin B6, copper, and vitamin C. An average adult ingests 5 g of phenylalanine per day and may optimally need up to 8 g daily. Phenylalanine is highly concentrated in a number of high protein foods, such as meat, cottage cheese, and wheat germ. An additional dietary source of phenylalanine is artificial sweeteners containing aspartame. As a general rule, aspartame should be avoided by phenylketonurics and pregnant women. When present in sufficiently high levels, phenylalanine can act as a neurotoxin and a metabotoxin. A neurotoxin is a compound that disrupts or attacks neural cells and neural tissue. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of phenylalanine are associated with at least five inborn errors of metabolism, including Hartnup disorder, hyperphenylalaninemia due to guanosine triphosphate cyclohydrolase deficiency, phenylketonuria (PKU), tyrosinemia type 2 (or Richner-Hanhart syndrome), and tyrosinemia type III (TYRO3). Phenylketonurics have elevated serum plasma levels of phenylalanine up to 400 times normal. High plasma concentrations of phenylalanine influence the blood-brain barrier transport of large neutral amino acids. The high plasma phenylalanine concentrations increase phenylalanine entry into the brain and restrict the entry of other large neutral amino acids (PMID: 19191004). Phenylalanine has been found to interfere with different cerebral enzyme systems. Untreated phenylketonuria (PKU) can lead to intellectual disability, seizures, behavioural problems, and mental disorders. It may also result in a musty smell and lighter skin. Classic PKU dramatically affects myelination and white matter tracts in untreated infants; this may be one major cause of neurological disorders associated with phenylketonuria. Mild phenylketonuria can act as an unsuspected cause of hyperactivity, learning problems, and other developmental problems in children. It has been recently suggested that PKU may resemble amyloid diseases, such as Alzheimer's disease and Parkinson's disease, due to the formation of toxic amyloid-like assemblies of phenylalanine (PMID: 22706200). Phenylalanine also has some potential benefits. Phenylalanine can act as an effective pain reliever. Its use in premenstrual syndrome and Parkinson's may enhance the effects of acupuncture and electric transcutaneous nerve stimulation (TENS). Phenylalanine and tyrosine, like L-DOPA, produce a catecholamine-like effect. Phenylalanine is better absorbed than tyrosine and may cause fewer headaches. Low phenylalanine diets have been prescribed for certain cancers with mixed results. For instance, some tumours use more phenylalanine than others (particularly melatonin-producing tumours called melanomas).",L-Phenylalanine,phe_L,COLNVLDHVKWLRT-QMMMGPOBSA-N,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",C00079,63-91-2,Increased,30.00-88.00,"80, 85, 101",250.00 - 980.00,PHE,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000159,phe_L,FDB014705,6140
Arginase Deficiency,ARG,Inherited metabolic disorder,"Increased blood urea nitrogen, in plasma-increased creatine, arginine, guanidoacetate and homoarginine, in urine-increased excretion of argininosuccinate, orotic acid and uracil.",No genotype-phenotype correlation has been found. Cowley et al. (1998) reported no arginase activity in liver tissue.,"Nervous system, RBC",16467,"Human Metabolome Database (HMDB): Arginine is an essential amino acid that is physiologically active in the L-form. In mammals, arginine is formally classified as a semiessential or conditionally essential amino acid, depending on the developmental stage and health status of the individual. Infants are unable to effectively synthesize arginine, making it nutritionally essential for infants. Adults, however, are able to synthesize arginine in the urea cycle. Arginine can be considered to be a basic amino acid as the part of the side chain nearest to the backbone is long, carbon-containing and hydrophobic, whereas the end of the side chain is a complex guanidinium group. With a pKa of 12.48, the guanidinium group is positively charged in neutral, acidic and even most basic environments. Because of the conjugation between the double bond and the nitrogen lone pairs, the positive charge is delocalized. This group is able to form multiple H-bonds. L-arginine is an amino acid that has numerous functions in the body. It helps dispose of ammonia, is used to make compounds such as nitric oxide, creatine, L-glutamate, L-proline, and it can be converted to glucose and glycogen if needed. In large doses, L-arginine also stimulates the release of hormones, growth hormone and prolactin. Arginine is a known inducer of MTOR (mammalian target of rapamycin) and is responsible for inducing protein synthesis through the MTOR pathway. MTOR inhibition by rapamycin partially reduces arginine-induced protein synthesis (PMID: 20841502). Catabolic disease states such as sepsis, injury, and cancer cause an increase in arginine utilization, which can exceed normal body production, leading to arginine depletion. Arginine also activates AMP kinase (AMPK) which then stimulates skeletal muscle fatty acid oxidation and muscle glucose uptake, thereby increasing insulin secretion by pancreatic beta-cells (PMID: 21311355). Moreover, L-arginine is found to be associated with argininemia, cystinuria, hyperdibasic aminoaciduria I, maple syrup urine disease, propionic acidemia, and tyrosinemia I, which are inborn errors of metabolism. Arginine is found in plant and animal proteins, such as dairy products, meat, poultry, fish, and nuts. The ratio of L-arginine to lysine is also important - soy and other plant proteins have more L-arginine than animal sources of protein.",L-Arginine,arg_L,ODKSFYDXXFIFQN-BYPYZUCNSA-O,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",C00062,74-79-3,Increased,2.00-33.00,310,1000.00-1500.00,ARG,[H]N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H])=[N+]([H])[H],HMDB0000517,arg_L,FDB002257,6322
Type II Citrullinemia,CIT2,Inherited metabolic disorder,"Increased blood ammonia, elevated citrulline in plasma. In urine-increased levels of argininosuccinate.",Two types-1) adult onset and 2) neonatal onset.,"Nervous system, liver",16349,"Human Metabolome Database (HMDB): Citrulline is an amino acid made from ornithine and carbamoyl phosphate in one of the central reactions in the urea cycle. It is also produced from arginine as a by-product of the reaction catalyzed by NOS family (NOS; EC 1.14.13.39). In this reaction arginine is first oxidized into N-hydroxyl-arginine, which is then further oxidized to citrulline concomitant with the release of nitric oxide. Citrulline's name is derived from citrullus, the Latin word for watermelon, from which it was first isolated. Citrulline is found to be associated with citrullinemia type I, which is an inborn error of metabolism.",Citrulline,citr_L,RHGKLRLOHDJJDR-BYPYZUCNSA-N,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",C00327,372-75-8,Increased,6.00 - 27,,28.00 - 348.00,L-CITRULLINE,[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000904,citr_L,FDB011841,9750
Type I Citrullinemia,CIT1,Inherited metabolic disorder,"Elevated blood ammonia. Increased citrulline and glycine in plasma. In urine-elevated levels of citrulline, glycine and orotic acid.","1) Classic neonatal-onset CTLN1. 2) Milder, adult-onset citrullinemia type I.",Nervous system,16349,"Human Metabolome Database (HMDB): Citrulline is an amino acid made from ornithine and carbamoyl phosphate in one of the central reactions in the urea cycle. It is also produced from arginine as a by-product of the reaction catalyzed by NOS family (NOS; EC 1.14.13.39). In this reaction arginine is first oxidized into N-hydroxyl-arginine, which is then further oxidized to citrulline concomitant with the release of nitric oxide. Citrulline's name is derived from citrullus, the Latin word for watermelon, from which it was first isolated. Citrulline is found to be associated with citrullinemia type I, which is an inborn error of metabolism.",Citrulline,citr_L,RHGKLRLOHDJJDR-BYPYZUCNSA-N,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",C00327,372-75-8,Increased,6.00 - 27,,94.00 - 1200.00,L-CITRULLINE,[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],HMDB0000904,citr_L,FDB011841,9750
