abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
0,11docrtsl,152-58-9,b,"Human Metabolome Database (HMDB): Cortexolone is also known as 11-Deoxy-17-hydroxy-corticosterone or 11-Deoxy-cortisol.  Cortexolone is considered to be practically insoluble (in water) and relatively neutral.  Cortexolone can be found throughout all human tissues; and in blood and urine. Cortexolone can be found throughout a human cell. Cortexolone is found in eukaryotic species, from E.coli to Humans",Cortexolone,HMDB0000015,b,b,C05488,11-DEOXY-CORTISOL,FDB021872,11docrtsl,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],WHBHBVVOGNECLV-OBQKJFGGSA-N,"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",CHEBI:28324,ChEBI,11-deoxycortisol,A deoxycortisol that is cortisol in which the hydroxy group at position 11 has been replaced by a hydrogen.,"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1"
1,11docrtstrn,64-85-7,16973.0,"Human Metabolome Database (HMDB): 11-Deoxycorticosterone (also called desoxycortone, 21-hydroxyprogesterone, DOC, or simply deoxycorticosterone) is a steroid hormone produced by the adrenal gland that possesses mineralocorticoid activity and acts as a precursor to aldosterone. It is classified as a member of the 21-hydroxysteroids. 21-hydroxysteroids are steroids carrying a hydroxyl group at the 21-position of the steroid backbone. Deoxycorticosterone is very hydrophobic, practically insoluble (in water), and relatively neutral. Deoxycorticosterone can be synthesized from progesterone by 21-beta-hydroxylase and is then converted to corticosterone by 11-beta-hydroxylase. Corticosterone is then converted to aldosterone by aldosterone synthase. Deoxycorticosterone stimulates the collecting tubules in the kidney to continue to excrete potassium in much the same way that aldosterone does. Deoxycorticosterone has about 1/20 of the sodium retaining power of aldosterone and about 1/5 the potassium excreting power of aldosterone (Wikipedia). Deoxycorticosterone can be found throughout all human tissues and has been detected in amniotic fluid and blood. When present in sufficiently high levels, deoxycorticosterone can act as a hypertensive agent and a metabotoxin. A hypertensive agent increases blood pressure and causes the production of more urine. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels.  Chronically high levels of deoxycorticosterone are associated with congenital adrenal hyperplasia (CAH) and with adrenal tumors producing deoxycorticosterone (PMID: 20671982). High levels of this mineralocorticoid are associated with resistant hypertension, which can result in polyuria, polydipsia, increased blood volume, edema, and cardiac enlargement. Deoxycorticosterone can be used to treat adrenal insufficiency. In particular, desoxycorticosterone acetate (DOCA) is used as replacement therapy in Addison's disease.",Deoxycorticosterone,HMDB0000016,b,b,C03205,11-DEOXYCORTICOSTERONE,FDB021873,11docrtstrn,[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],ZESRJSPZRDMNHY-YFWFAHHUSA-N,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",CHEBI:16973,ChEBI,11-deoxycorticosterone,A mineralocorticoid that is progesterone substituted at position 21 by a hydroxy group.,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1"
2,12ppd_R,57-55-6,16997.0,"Human Metabolome Database (HMDB): Propylene glycol (1,2-propanediol) is an organic compound (a diol alcohol), usually a tasteless, odorless, and colorless clear oily liquid that is hygroscopic and miscible with water, acetone, and chloroform. It is manufactured by the hydration of propylene oxide. Propylene glycol is used as a solvent for intravenous, oral, and topical pharmaceutical preparations It is generally considered safe. However in large doses it can be toxic, especially if given over a short period of time. Intravenous lorazepam contains the largest amount of propylene glycol of commonly used drugs. In adults with normal liver and kidney function, the terminal half-life of propylene glycol ranges from 1.4 to 3.3 hours. Propylene glycol is metabolized by the liver to form lactate, acetate, and pyruvate. The nonmetabolized drug is excreted in the urine mainly as the glucuronide conjugate, approximately 12 to 45 percent is excreted unchanged in urine. Renal clearance decreases as the dose administered increases (390 ml/minute/173 m2 at a dose of 5 g/day but only 144 ml/minute/173 m2 at a dose of 21 g/day). These data suggest that renal clearance declines at higher propylene glycol doses because of saturation of proximal tubular secretion of the drug. As an acceptable level of propylene glycol has not been defined, the clinical implication of a propylene glycol level is unclear. The World Health Organization (WHO) recommends a maximum consumption of 25 mg/kg/day (1.8 g/day for a 75 kg male) of propylene glycol when used as a food additive, but this limit does not address its use as a drug solvent. No maximum dose is recommended in the literature for intravenous therapy with propylene glycol. Intoxication occurs at much higher doses than the WHO dose limit and is exclusive to pharmacologic exposure. Propylene glycol toxicity includes development of serum hyperosmolality, lactic acidosis, and kidney failure. It has been suggested that proximal tubular necrosis is the cause of acute kidney injury from propylene glycol. Along these lines, proximal tubular cell injury occurs in cultured human cells exposed to propylene glycol. Acute tubular necrosis was described with propylene glycol toxicity in a case of concomitant administration of intravenous lorazepam and trimethoprim sulfamethoxazole. Propylene glycol induced intoxication can also mimic sepsis or systemic inflammatory response syndrome (SIRS). Patients suspected of having sepsis with negative cultures should be evaluated for propylene glycol toxicity if they have been exposed to high dose lorazepam or other medications containing this solvent. (PMID: 17555487).",Propylene glycol,HMDB0001881,b,b,C00583,"PROPANE-1,2-DIOL",FDB008274,12ppd_R,[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],DNIAPMSPPWPWGF-UHFFFAOYSA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",CHEBI:16997,ChEBI,"propane-1,2-diol","The simplest member of the class of propane-1,2-diols, consisting of propane in which a hydrogen at position 1 and a hydrogen at position 2 are substituted by hydroxy groups. A colourless, viscous, hygroscopic, low-melting (-59degreeC) and high-boiling (188degreeC) liquid with low toxicity, it is used as a solvent, emulsifying agent, and antifreeze.","InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3"
3,12ppd_S,4254-15-3,29002.0,"Human Metabolome Database (HMDB): (S)-Propane-1,2-diol is a clear, colorless, viscous organic solvent and diluent used in pharmaceutical preparations.","(S)-Propane-1,2-diol",HMDB0006213,b,b,C02917,--TRANS-ACENAPHTHENE-12-DIOL,FDB023838,12ppd_S,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])[H],DNIAPMSPPWPWGF-VKHMYHEASA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",CHEBI:29002,ChEBI,"(S)-propane-1,2-diol",y,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1"
4,13dampp,109-76-2,15725.0,"Human Metabolome Database (HMDB): 1,3-Diaminopropane is a stable, flammable and highly hydroscopic fluid. It is a polyamine that is normally quite toxic if swallowed, inhaled or absorbed through the skin. It is a catabolic byproduct of spermidine. It is also a precursor in the enzymatic synthesis of beta-alanine. 1, 3-Diaminopropane is involved in the arginine/proline metabolic pathways and the beta-alanine metabolic pathway.","1,3-Diaminopropane",HMDB0000002,b,b,C00986,CPD-313,FDB005274,13dampp,[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],XFNJVJPLKCPIBV-UHFFFAOYSA-P,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,CHEBI:57484,Rhea,trimethylenediaminium,"An alkane-alpha,omega-diammonium(2+) that is the dication of trimethylenediamine arising from protonation of both nitrogens.",InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2
5,13dpg,1981-49-3,b,"Human Metabolome Database (HMDB): 1,3-Bisphosphogylcerate (1,3BPG), also known as PGAP, is a 3-carbon organic molecule present in most, if not all living creatures. It primarily exists as a metabolic intermediate in glycolysis during respiration. 1,3BPG have been recognized as regulatory signal implicated in the control of metabolism, oxygen affinity of red cells and other cellular functions. 1,3BPG concentration in erythrocytes changes in a number of pathological conditions, such as Inherited Phosphoglycerate kinase deficiency in erythrocytes (involved in the synthesis and breakdown of 1,3 BPG). (PMID 3555887). 1,3-bisphosphoglycerate is the anion form of bisphosphoglyceric acid. It is phosphorylated at the number 1 and 3 carbons. The result of this phosphorylation gives 1,3BPG important biological properties such as the ability to phosphorylate ADP to form the energy storage molecule ATP.(wikipedia).","Glyceric acid 1,3-biphosphate",HMDB0001270,b,b,C00236,DPG,FDB022524,13dpg,[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O,LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",CHEBI:57604,Rhea,3-phosphonato-D-glyceroyl phosphate(4-),Tetraanion of 3-phospho-D-glyceroyl dihydrogen phosphate arising from deprotonation of both phosphate groups.,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1"
6,13ppd,b,16109.0,b,"Propane-1,3-diol",b,b,b,C02457,b,b,b,b,b,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",CHEBI:16109,ChEBI,"propane-1,3-diol","The simplest member of the class of propane-1,3-diols, consisting of propane in which one hydrogen from each methyl group is substituted by a hydroxy group. A colourless, viscous, water-miscible liquid with a high (210degreeC) boiling point, it is used in the synthesis of certain polymers and as a solvent and antifreeze.","InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2"
7,15HPET,b,b,b,15S-Hydroperoxyeicosatetraenoate,b,b,b,b,b,b,15HPET,[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],BFWYTORDSFIVKP-VAEKSGALSA-M,"InChI=1S/C20H32O4/c1-2-3-13-16-19(24-23)17-14-11-9-7-5-4-6-8-10-12-15-18-20(21)22/h4-5,8-11,14,17,19,23H,2-3,6-7,12-13,15-16,18H2,1H3,(H,21,22)/p-1/b5-4-,10-8-,11-9-,17-14+/t19-/m0/s1",CHEBI:57446,Rhea,15(S)-HPETE(1-),Conjugate base of 15(S)-HPETE arising from deprotonation of the carboxylic acid function.,"InChI=1S/C20H32O4/c1-2-3-13-16-19(24-23)17-14-11-9-7-5-4-6-8-10-12-15-18-20(21)22/h4-5,8-11,14,17,19,23H,2-3,6-7,12-13,15-16,18H2,1H3,(H,21,22)/p-1/b5-4-,10-8-,11-9-,17-14+/t19-/m0/s1"
8,15kprostgf2,b,b,b,15-Keto-Prostaglandin F2A,b,b,b,b,b,b,15kprostgf2,[H]O[C@]1([H])C([H])([H])[C@]([H])(O[H])[C@]([H])(C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)[C@@]1([H])C(\[H])=C(/[H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],LOLJEILMPWPILA-AMFHKTBMSA-M,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,16-19,22-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/p-1/b7-4-,13-12+/t16-,17-,18+,19-/m1/s1",CHEBI:133409,SUBMITTER,15-oxoprostaglandin F2alpha(1-),"A prostaglandin carboxylic acid anion that is the conjugate base of 15-oxoprostaglandin F2alpha, obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,16-19,22-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/p-1/b7-4-,13-12+/t16-,17-,18+,19-/m1/s1"
9,17ahprgnlone,387-79-1,28750.0,"Human Metabolome Database (HMDB): 17a-Hydroxypregnenolone is a 21-carbon steroid that is converted from pregnenolone by cytochrome P450 17alpha hydroxylase/C17,20 lyase (CYP17, EC 1.14.99.9). 17a-Hydroxypregnenolone is an intermediate in the delta-5 pathway of biosynthesis of gonadal steroid hormones and the adrenal corticosteroids. The first, rate-limiting and hormonally regulated step in the biosynthesis of all steroid hormones is the conversion of cholesterol to pregnenolone. The conversion of cholesterol to pregnenolone is accomplished by the cleavage of the cholesterol side chain, catalyzed by a mitochondrial cytochrome P450 enzyme termed P450scc where scc designates Side Chain Cleavage. All steroid hormones are made from the pregnenolone produced by P450scc; thus, the presence or absence of each of the activities of CYP17 directs this pregnenolone towards its final metabolic pathway. While all cytochrome P450 enzymes can catalyze multiple reactions on a single active site, CYP17 is the only one described to date in which these multiple activities are differentially regulated by a physiologic process. 17a-Hydroxypregnenolone is converted to dehydroepiandrosterone by the 17,20 lyase activity of CYP17. The ratio of the 17,20 lyase to 17 alpha-hydroxylase activity of CYP17 determines the ratio of C21 to C19 steroids produced. This ratio is regulated post-translationally by at least three factors: the abundance of the electron-donating protein P450 oxidoreductase, the presence of cytochrome b5, and the serine phosphorylation of CYP17. (PMID: 12573809).",17a-Hydroxypregnenolone,HMDB0000363,b,b,C05138,b,FDB021982,17ahprgnlone,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@](O[H])(C(=O)C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],JERGUCIJOXJXHF-TVWVXWENSA-N,"InChI=1S/C21H32O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h4,15-18,23-24H,5-12H2,1-3H3/t15-,16+,17-,18-,19-,20-,21-/m0/s1",CHEBI:28750,ChEBI,17alpha-hydroxypregnenolone,A hydroxypregnenolone carrying an alpha-hydroxy group at position 17.,"InChI=1S/C21H32O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h4,15-18,23-24H,5-12H2,1-3H3/t15-,16+,17-,18-,19-,20-,21-/m0/s1"
