	chebi	name	definition	compound_id	type	accession_number
0	2341	AACOCF3	A fatty acid derivative that is arachidonic acid in which the OH part of the carboxy group has been replaced by a trifluoromethyl group	28435	CAS Registry Number	2008-58-4
1	4819	lysergamide	An ergoline alkaloid comprising ergoline lacking hydrogens at positions 9 and 10 and also having a methyl group attached to the piperidine nitrogen.	1864	CAS Registry Number	40277-05-2
2	5555	guanadrel	A spiroketal resulting from the formal condensation of the keto group of cyclohexanone with the hydroxy groups of 1-(2,3-dihydroxypropyl)guanidine. A postganglionic adrenergic blocking agent formerly used (generally as the sulfate salt) for the management of hypertension, it has been largely superseded by other drugs less likely to cause orthostatic hypotension (dizzy spells on standing up or stretching).	2149	KEGG COMPOUND accession	C05468
3	4331	dauricine	A bisbenzylisoquinoline alkaloid resulting from the formal oxidative dimerisation of 4-{[(1R)-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl}phenol by attachment of the phenolic oxygen of one molecule to the benzene ring of the second (ortho to the phenolic hydroxy group of the latter).	28834	KEGG COMPOUND accession	C04483
4	3561	cetirizine	A member of the class of piperazines that is piperazine in which the hydrogens attached to nitrogen are replaced by a (4-chlorophenyl)(phenyl)methyl and a 2-(carboxymethoxy)ethyl group respectively.	1391	CAS Registry Number	42542-10-9
5	3750	clofibrate	The ethyl ester of clofibric acid.	1472	KEGG COMPOUND accession	C03585
6	8871	risperidone	A member of the class of pyridopyrimidines that is 2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one carrying an additional 2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl group at position 2.	16990	KEGG COMPOUND accession	C00486
7	2415	acetylcaranine	An organic heteropentacyclic compound that is caranine in which the hydroxy group is acetylated.	16720	KEGG COMPOUND accession	C10517
8	8024	perindopril	An alpha-amino acid ester that is the ethyl ester of N-{(2S)-1-[(2S,3aS,7aS)-2-carboxyoctahydro-1H-indol-1-yl]-1-oxopropan-2-yl}-L-norvaline	2719	KEGG COMPOUND accession	C02135
9	4653	dipyridamole	A pyrimidopyrimidine that is 2,2',2'',2'''-(pyrimido[5,4-d]pyrimidine-2,6-diyldinitrilo)tetraethanol substituted by piperidin-1-yl groups at positions 4 and 8 respectively. A vasodilator agent, it inhibits the formation of blood clots.	1808	KEGG COMPOUND accession	C07088
10	4659	disulfiram	An organic disulfide that results from the formal oxidative dimerisation of N,N-diethyldithiocarbamic acid.  A multi-enzyme inhibitor that is used in alcohol aversion therapy and also exhibits anticancer properties.	17346	KEGG COMPOUND accession	C03679
11	7852	oxycodone	A semisynthetic opioid of formula C18H21NO4 that is derived from thebaine.  It is a moderately potent opioid analgesic, generally used for relief of moderate to severe pain.	29016	KEGG COMPOUND accession	C02385
12	10124	zolmitriptan	A member of the class of tryptamines that is N,N-dimethyltryptamine in which the hydrogen at position 5 of the indole ring has been replaced by a [(4S)-2-oxo-1,3-oxazolidin-4-yl]methyl group. A serotonin 5-HT1 B and D receptor agonist, it is used for the treatment of migraine.	3490	KEGG COMPOUND accession	C08104
13	2981	baicalin	The glycosyloxyflavone which is the 7-O-glucuronide of baicalein. It is an active ingredient of Chinese herbal medicine Scutellaria baicalensis.	15479	KEGG COMPOUND accession	C00630
14	4356	desferrioxamine B	An acyclic desferrioxamine that is butanedioic acid in which one of the carboxy groups undergoes formal condensation with the primary amino group of N-(5-aminopentyl)-N-hydroxyacetamide and the second carboxy group undergoes formal condensation with the hydroxyamino group of N(1)-(5-aminopentyl)-N(1)-hydroxy-N(4)-[5-(hydroxyamino)pentyl]butanediamide. It is a siderophore native to Streptomyces pilosus biosynthesised by the DesABCD enzyme cluster as a high affinity Fe(III) chelator.	16466	KEGG COMPOUND accession	C01301
15	4917	eugenol	A phenylpropanoid formally derived from guaiacol with an allyl chain substituted para to the hydroxy group. It is a major component of clove essential oil, and exhibits antibacterial, analgesic and antioxidant properties. It has been widely used in dentistry to treat toothache and pulpitis.	17254	CAS Registry Number	452-86-8
16	2979	baicalein	A trihydroxyflavone with the hydroxy groups at positions C-5, -6 and -7.	17402	KEGG COMPOUND accession	C03754
17	8776	ranitidine	A member of the class of  furans used to treat  peptic ulcer disease (PUD) and gastroesophageal reflux disease.	16017	CAS Registry Number	3012-37-1
18	5818	hydroxyzine	A N-alkylpiperazine that is piperzine in which the nitrogens atoms are substituted by 2-(2-hydroxyethoxy)ethyl and (4-chlorophenyl)(phenyl)methyl groups respectively.	2274	KEGG COMPOUND accession	C02242
19	6980	monocrotaline	a	27750	KEGG COMPOUND accession	C00849
20	10650	sumatriptan	A sulfonamide that consists of N,N-dimethyltryptamine bearing an additional (N-methylsulfamoyl)methyl substituent at position 5. Selective agonist for a vascular 5-HT1 receptor subtype (probably a member of the 5-HT1D family). Used (in the form of its succinate salt) for the acute treatment of migraine with or without aura in adults.	3707	CAS Registry Number	121-20-0
21	4903	17alpha-ethynylestradiol	A 3-hydroxy steroid that is estradiol substituted by a ethynyl group at position 17. It is a  xenoestrogen synthesized from estradiol and has been shown to exhibit high estrogenic potency on oral administration.	17857	KEGG COMPOUND accession	C04327
22	29321	sodium nitroprusside	An organic sodium salt that is the disodium salt of nitroprusside.	9171	KEGG COMPOUND accession	C08313
23	2542	alatolide	A germacrane sesquiterpenoid laactone obtained by formal condensation of the carboxy group of isobutyric acid with the secondary hydroxy group of trihydroxygermaeranolide.	16166	KEGG COMPOUND accession	C02927
24	3682	chrysazin	A dihydroxyanthraquinone that is anthracene-9,10-dione substituted by hydroxy groups at positions 1 and 8.	16357	KEGG COMPOUND accession	C01162
25	4876	etacrynic acid	An aromatic ether that is phenoxyacetic acid in which the phenyl ring is substituted by chlorines at positions 2 and 3, and by a 2-methylidenebutanoyl group at position 4. It is a loop diuretic used to treat high blood pressure resulting from diseases such as congestive heart failure, liver failure, and kidney failure. It is also a glutathione S-transferase (EC 2.5.1.18) inhibitor.	27600	CAS Registry Number	610-35-5
