chebi,name,definition,compound_id,type,accession_number,abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
0,4917,eugenol,"A phenylpropanoid formally derived from guaiacol with an allyl chain substituted para to the hydroxy group. It is a major component of clove essential oil, and exhibits antibacterial, analgesic and antioxidant properties. It has been widely used in dentistry to treat toothache and pulpitis.",17254,CAS Registry Number,452-86-8,4mcat,452-86-8,17254.0,"Human Metabolome Database (HMDB): 4-methylcatechol is a metabolite of homoprotocatechuic acid. It is both a substrate and a suicide inhibitor of Catechol 2,3-dioxygenase [EC 1.3.11.2]. (PMID 15006807). 4-methylcatechol is known to induce the production of brain-derived neurotrophic factor (BDNF). Recent studies have suggested that a lack of brain-derived neurotrophic factor (BDNF) in the limbic system may cause neuropathic pain. (PMID: 22198556).",4-Methylcatechol,HMDB0000873,b,b,C06730,4-METHYLCATECHOL,FDB008861,b,b,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,b
1,8055,5-methylphenazinium methyl sulfate,a,17296,CAS Registry Number,62-53-3,M01341,62-53-3,17296.0,"Human Metabolome Database (HMDB): Aniline is an organic chemical compound, specifically a primary aromatic amine. It consists of a benzene ring attached to an amino group. Aniline is oily and, although colorless, it can be slowly oxidized and resinified in air to form impurities which can give it a red-brown tint. Its boiling point is 184 degree centigrade and its melting point is -6 degree centegrade. It is a liquid at room temperature. Like most volatile amines, it possesses a somewhat unpleasant odour of rotten fish, and also has a burning aromatic taste; it is a highly acrid poison. It ignites readily, burning with a large smoky flame. Aniline reacts with strong acids to form salts containing the anilinium (or phenylammonium) ion (C6H5-NH3+), and reacts with acyl halides (such as acetyl chloride (ethanoyl chloride), CH3COCl) to form amides. The amides formed from aniline are sometimes called anilides, for example CH3-CO-NH-C6H5 is acetanilide, for which the modern name is N-phenyl ethanamide. Like phenols, aniline derivatives are highly reactive in electrophilic substitution reactions. For example, sulfonation of aniline produces sulfanilic acid, which can be converted to sulfanilamide. Sulfanilamide is one of the sulfa drugs which were widely used as antibacterial in the early 20th century. Aniline was first isolated from the destructive distillation of indigo in 1826 by Otto Unverdorben. In 1834, Friedrich Runge isolated from coal tar a substance which produced a beautiful blue color on treatment with chloride of lime; this he named kyanol or cyanol. In 1841, C. J. Fritzsche showed that by treating indigo with caustic potash it yielded an oil, which he named aniline, from the specific name of one of the indigo-yielding plants, Indigofera anil, anil being derived from the Sanskrit, dark-blue.",Aniline,HMDB0003012,b,b,C00292,34-DICHLOROANILINE,FDB003571,b,[H]N([H])C1=C([H])C([H])=C([H])C([H])=C1[H],PAYRUJLWNCNPSJ-UHFFFAOYSA-N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
2,73492,Glu-Glu-Ile,A tripeptide composed of two L-glutamic acid units and L-isoleucine joined in sequence by peptide linkages.,17296,CAS Registry Number,62-53-3,M01341,62-53-3,17296.0,"Human Metabolome Database (HMDB): Aniline is an organic chemical compound, specifically a primary aromatic amine. It consists of a benzene ring attached to an amino group. Aniline is oily and, although colorless, it can be slowly oxidized and resinified in air to form impurities which can give it a red-brown tint. Its boiling point is 184 degree centigrade and its melting point is -6 degree centegrade. It is a liquid at room temperature. Like most volatile amines, it possesses a somewhat unpleasant odour of rotten fish, and also has a burning aromatic taste; it is a highly acrid poison. It ignites readily, burning with a large smoky flame. Aniline reacts with strong acids to form salts containing the anilinium (or phenylammonium) ion (C6H5-NH3+), and reacts with acyl halides (such as acetyl chloride (ethanoyl chloride), CH3COCl) to form amides. The amides formed from aniline are sometimes called anilides, for example CH3-CO-NH-C6H5 is acetanilide, for which the modern name is N-phenyl ethanamide. Like phenols, aniline derivatives are highly reactive in electrophilic substitution reactions. For example, sulfonation of aniline produces sulfanilic acid, which can be converted to sulfanilamide. Sulfanilamide is one of the sulfa drugs which were widely used as antibacterial in the early 20th century. Aniline was first isolated from the destructive distillation of indigo in 1826 by Otto Unverdorben. In 1834, Friedrich Runge isolated from coal tar a substance which produced a beautiful blue color on treatment with chloride of lime; this he named kyanol or cyanol. In 1841, C. J. Fritzsche showed that by treating indigo with caustic potash it yielded an oil, which he named aniline, from the specific name of one of the indigo-yielding plants, Indigofera anil, anil being derived from the Sanskrit, dark-blue.",Aniline,HMDB0003012,b,b,C00292,34-DICHLOROANILINE,FDB003571,b,[H]N([H])C1=C([H])C([H])=C([H])C([H])=C1[H],PAYRUJLWNCNPSJ-UHFFFAOYSA-N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
3,29449,hydrogen azide,a,16393,CAS Registry Number,123-78-4,sphings,123-78-4,16393.0,"Human Metabolome Database (HMDB): Sphingosine is a 18-carbon amino alcohol with a long unsaturated hydrocarbon chain. Sphingosine and its derivative sphinganine are the major bases of the sphingolipids in mammals. (Dorland, 28th ed.). Sphingosine can be phosphorylated in vivo via two kinases, sphingosine kinase type 1 and sphingosine kinase type 2. This leads to the formation of sphingosine-1-phosphate, a potent signaling lipid.(Wikipedia).",Sphingosine,HMDB0000252,b,b,C00319,SPHINGOSINE,FDB021919,sphings,[H]OC([H])([H])C([H])([N+]([H])([H])[H])C([H])(O[H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],WWUZIQQURGPMPG-UHFFFAOYSA-O,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h14-15,17-18,20-21H,2-13,16,19H2,1H3/p+1"
4,8212,pimozide,"A member of the class of benzimidazoles that is 1,3-dihydro-2H-benzimidazol-2-one in which one of the nitrogens is substituted by a piperidin-4-yl group, which in turn is substituted on the nitrogen by a 4,4-bis(p-fluorophenyl)butyl group.",15843,CAS Registry Number,506-32-1,arachd,506-32-1,15843.0,"Human Metabolome Database (HMDB): Arachidonic acid is a polyunsaturated, essential fatty acid. It is found in animal and human fat as well as in the liver, brain, and glandular organs, and is a constituent of animal phosphatides. It is formed by the synthesis from dietary linoleic acid. Arachidonic acid mediates inflammation and the functioning of several organs and systems either directly or upon its conversion into eicosanoids. Arachidonic acid in cell membrane phospholipids is the substrate for the synthesis of a range of biologically active compounds (eicosanoids) including prostaglandins, thromboxanes, and leukotrienes. These compounds can act as mediators in their own right and can also act as regulators of other processes, such as platelet aggregation, blood clotting, smooth muscle contraction, leukocyte chemotaxis, inflammatory cytokine production, and immune function. Arachidonic acid can be metabolized by cytochrome p450 (CYP450) enzymes to 5,6-, 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acids (EETs), their corresponding dihydroxyeicosa-trienoic acids (DHETs), and 20-hydroxyeicosatetraenoic acid (20-HETE). The production of kidney CYP450 arachidonic acid metabolites is altered in diabetes, pregnancy, hepatorenal syndrome, and in various models of hypertension, and it is likely that changes in this system contribute to the abnormalities in renal function that are associated with many of these conditions. Phospholipase A2 (PLA2) catalyzes the hydrolysis of the sn-2 position of membrane glycerophospholipids to liberate arachidonic acid (PMID: 12736897, 12736897, 12700820, 12570747, 12432908).",Arachidonic acid,HMDB0001043,b,b,C00219,ARACHIDONIC_ACID,FDB011872,arachd,[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],YZXBAPSDXZZRGB-DOFZRALJSA-M,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/p-1/b7-6-,10-9-,13-12-,16-15-"
5,5262,galangin,A 7-hydroxyflavonol with additional hydroxy groups at positions 3 and 5 respectively; a growth inhibitor of breast tumor cells.,15887,CAS Registry Number,660-88-8,5aptn,660-88-8,15887.0,"Human Metabolome Database (HMDB): 5-aminovalerate (or 5-aminopentanoic acid) is a lysine degradation product.  It can be produced both endogenously or through bacterial catabolism of lysine.  5-aminovalerate is formed via the following multi-step reaction: L-lysine leads to cadverine leads to L-piperideine leads 5-aminovalerate (PMID: 405455).  In other words it is a metabolite of cadaverine which is formed via the intermediate, 1-piperideine (PMID: 6436440).  Cadaverine is a foul-smelling diamine compound produced by protein hydrolysis during putrefaction of animal tissue. High levels of 5-aminovalerate in biofluids may indicate bacterial overgrowth or endogenous tissue necrosis.  In most cases  endogenous 5-aminovalerate is thought to be primarily a microbial metabolite produced by the gut or oral microflora, although it can be produced endogenously.  5-aminovalerate is a normal metabolite present in human saliva, with a tendency to elevated concentration in patients with chronic periodontitis. Bacterial contamination and decomposition of salivary proteins is primarily responsible for elevated salivary levels (PMID 3481959). Beyond being a general waste product, 5-aminovalerate is also believed to act as a methylene homologue of gamma-aminobutyric acid (GABA) and functions as a weak GABA agonist (PMID: 4031870). It is also known as an antifibrinolytic amino acid analog and so it functions as a weak inhibitor of the blood clotting pathway (PMID: 6703712). 5-aminopentanoic acid is an in vivo substrate of 4-aminobutyrate:2-oxoglutarate aminotransferase (PMID: 4031870).",5-Aminopentanoic acid,HMDB0003355,b,b,C00431,5-AMINOPENTANOATE,FDB023151,b,b,JJMDCOVWQOJGCB-UHFFFAOYSA-N,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)"
6,7863,oxymetazoline hydrochloride,"A hydrochloride salt resulting from the reaction of equimolar quantities of oxymetazoline and hydrogen chloride. A direct-acting sympathomimetic with marked alpha-adrenergic activity, it is a vasoconstrictor that is used to relieve nasal congestion.",17906,CAS Registry Number,298-08-8,aact,298-08-8,17906.0,"Human Metabolome Database (HMDB): Threonine dehydrogenase catalyzes the oxidation of threonine by NAD+ to glycine and acetyl-CoA, but when the ratio acetyl-CoA/CoA increases in nutritional deprivation (e.g., in diabetes) the enzyme produces aminoacetone (Chem. Res. Toxicol., 14 (9), 1323 -1329, 2001). Aminoacetone is thought to be a substrate for SSAO (semicarbazide-sensitive amine oxidase), leading to the production of the toxic product methylglyoxal (Journal of Chromatography B. Volume 824, Issues 1-2 , 25 September 2005, Pages 116-122 ).",Aminoacetone,HMDB0002134,b,b,C01888,AMINO-ACETONE,FDB022860,aact,[H]C([H])([H])C(=O)C([H])([H])[N+]([H])([H])[H],BCDGQXUMWHRQCB-UHFFFAOYSA-O,"InChI=1S/C3H7NO/c1-3(5)2-4/h2,4H2,1H3/p+1"
7,11892,N-carbamoyl-beta-alaninate,A monocarboxylic acid anion that is the conjugate base of N-carbamoyl-beta-alanine arising from deprotonation of the carboxy group.,18105,CAS Registry Number,15978-08-2,f1p,15978-08-2,704854.0,Human Metabolome Database (HMDB): Fructose 1-phosphate is an intermediate metabolite in the Fructose and mannose metabolism pathway.,Fructose 1-phosphate,HMDB0001076,b,b,C01094,FRU1P,FDB022410,f1p,[H]OC([H])([H])[C@@]1([H])OC(O[H])(C([H])([H])OP([O-])([O-])=O)[C@@]([H])(O[H])[C@]1([H])O[H],RHKKZBWRNHGJEZ-NSHGFSBMSA-L,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4-,5+,6?/m0/s1"
8,89891,3-hexanone,A dialkyl ketone that is hexane in which the two methylene protons at position 3 have been replaced by an oxo group.,18105,CAS Registry Number,15978-08-2,f1p,15978-08-2,704854.0,Human Metabolome Database (HMDB): Fructose 1-phosphate is an intermediate metabolite in the Fructose and mannose metabolism pathway.,Fructose 1-phosphate,HMDB0001076,b,b,C01094,FRU1P,FDB022410,f1p,[H]OC([H])([H])[C@@]1([H])OC(O[H])(C([H])([H])OP([O-])([O-])=O)[C@@]([H])(O[H])[C@]1([H])O[H],RHKKZBWRNHGJEZ-NSHGFSBMSA-L,"InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4-,5+,6?/m0/s1"
9,3388,"carbamazepine-10,11-epoxide",An  epoxide and metabolite of carbamazepine.,53013,CAS Registry Number,63-37-6,cmp,63-37-6,17361.0,"Human Metabolome Database (HMDB): Cytidine monophosphate, also known as 5'-cytidylic acid and abbreviated CMP, is a nucleotide. It is an ester of phosphoric acid with the nucleoside cytidine. CMP consists of the phosphate group, the pentose sugar ribose, and the nucleobase cytosine. Cytidine monophosphate (CMP) is derived from cytidine triphosphate (CTP) with subsequent loss of two phosphates. The synthesis of the pyrimidines CTP and UTP occurs in the cytoplasm and starts with the formation of carbamoyl phosphate from glutamine and CO2. Next, aspartate undergoes a condensation reaction with carbamoyl-phosphate to form orotic acid. In a subsequent cyclization reaction, the enzyme Aspartate carbamoyltransferase forms N-carbamoyl-aspartate which is converted into dihydroorotic acid by Dihydroorotase. The latter is converted to orotate by Dihydroorotate oxidase. Orotate is covalently linked with a phosphorylated ribosyl unit with Orotate phosphoribosyltransferase (aka ""PRPP transferase"") catalyzing reaction, yielding orotidine monophosphate (OMP). Orotidine-5-phosphate is decarboxylated by Orotidine-5'-phosphate decarboxylase to form uridine monophosphate (UMP). UMP is phosphorylated by two kinases to uridine triphosphate (UTP) via two sequential reactions with ATP. CTP is subsequently formed by amination of UTP by the catalytic activity of CTP synthetase. Cytosine monophosphate (CMP) and uridine monophosphate (UMP) have been prescribed for the treatment of neuromuscular affections in humans. Patients treated with CMP/UMP recover from altered neurological functions. Additionally, the administration of CMP/UMP appears to favour the entry of glucose in the muscle and CMP/UMP may be important in maintaining the level of hepatic glycogen constant during exercise. [PMID:18663991].",Cytidine monophosphate,HMDB0000095,b,b,C00055,CMP,FDB011882,cmp,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])([O-])=O)[C@@]1([H])O[H])N1C([H])=C([H])C(=NC1=O)N([H])[H],IERHLVCPSMICTF-XVFCMESISA-L,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/p-2/t4-,6-,7-,8-/m1/s1"
