chebi,name,definition,compound_id,type,accession_number,abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
0,5555,guanadrel,"A spiroketal resulting from the formal condensation of the keto group of cyclohexanone with the hydroxy groups of 1-(2,3-dihydroxypropyl)guanidine. A postganglionic adrenergic blocking agent formerly used (generally as the sulfate salt) for the management of hypertension, it has been largely superseded by other drugs less likely to cause orthostatic hypotension (dizzy spells on standing up or stretching).",2149,KEGG COMPOUND accession,C05468,,,,,,,,,,,,,,,
1,4331,dauricine,"A bisbenzylisoquinoline alkaloid resulting from the formal oxidative dimerisation of 4-{[(1R)-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl}phenol by attachment of the phenolic oxygen of one molecule to the benzene ring of the second (ortho to the phenolic hydroxy group of the latter).",28834,KEGG COMPOUND accession,C04483,dchac,83-44-3,28834.0,"Human Metabolome Database (HMDB): Deoxycholic acid is a secondary bile acid produced in the liver and is usually conjugated with glycine or taurine. It facilitates fat absorption and cholesterol excretion. Bile acids are steroid acids found predominantly in the bile of mammals. The distinction between different bile acids is minute, and depends only on the presence or absence of hydroxyl groups on positions 3, 7, and 12. Bile acids are physiological detergents that facilitate excretion, absorption, and transport of fats and sterols in the intestine and liver. Bile acids are also steroidal amphipathic molecules derived from the catabolism of cholesterol. They modulate bile flow and lipid secretion, are essential for the absorption of dietary fats and vitamins, and have been implicated in the regulation of all the key enzymes involved in cholesterol homeostasis. Bile acids recirculate through the liver, bile ducts, small intestine, and portal vein to form an enterohepatic circuit. They exist as anions at physiological pH, and consequently require a carrier for transport across the membranes of the enterohepatic tissues. The unique detergent properties of bile acids are essential for the digestion and intestinal absorption of hydrophobic nutrients. Bile acids have potent toxic properties (e.g. membrane disruption) and there are a plethora of mechanisms to limit their accumulation in blood and tissues (PMID: 11316487, 16037564, 12576301, 11907135). When present in sufficiently high levels, deoxycholic acid can act as a hepatotoxin, a metabotoxin, and an oncometabolite. A hepatotoxin causes damage to the liver or liver cells. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. An oncometabolite is a compound, when present at chronically high levels, that promotes tumour growth and survival. Among the primary bile acids, cholic acid is considered to be the least hepatotoxic while deoxycholic acid is the most hepatoxic (PMID: 1641875). The liver toxicity of bile acids appears to be due to their ability to peroxidate lipids and to lyse liver cells. High bile acid levels lead to the generation of reactive oxygen species and reactive nitrogen species, disruption of the cell membrane and mitochondria, induction of DNA damage, mutation and apoptosis, and the development of reduced apoptosis capability upon chronic exposure (PMID: 24884764). Chronically high levels of deoxycholic acid are associated with familial hypercholanemia. In hypercholanemia, bile acids, including deoxycholic acid, are elevated in the blood. This disease causes liver damage, extensive itching, poor fat absorption, and can lead to rickets due to lack of calcium in bones. The deficiency of normal bile acids in the intestines results in a deficiency of vitamin K, which also adversely affects clotting of the blood. The bile acid ursodiol (ursodeoxycholic acid) can improve symptoms associated with familial hypercholanemia. Chronically high levels of deoxycholic acid are also associated with several forms of cancer including colon cancer, pancreatic cancer, esophageal cancer, and many other GI cancers.",Deoxycholic acid,HMDB0000626,b,b,C04483,b,FDB012780,dchac,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O)[C@@]4(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])[C@]23[H])C1([H])[H],KXGVEGMKQFWNSR-LLQZFEROSA-M,"InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/p-1/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1"
2,3750,clofibrate,The ethyl ester of clofibric acid.,1472,KEGG COMPOUND accession,C03585,,,,,,,,,,,,,,,
3,8871,risperidone,"A member of the class of pyridopyrimidines that is 2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one carrying an additional 2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl group at position 2.",16990,KEGG COMPOUND accession,C00486,bilirub,635-65-4,16990.0,"Human Metabolome Database (HMDB): Bilirubin is a bile pigment that is a degradation product of heme. In particular, bilirubin is a yellow breakdown product of normal heme catabolism. Its levels are elevated in certain diseases and it is responsible for the yellow color of bruises. Bilirubin is an excretion product, and the body does not control levels. Bilirubin levels reflect the balance between production and excretion. Thus, there is no ""normal"" level of bilirubin. Bilirubin consists of an open chain of four pyrroles (tetrapyrrole); by contrast, the heme molecule is a closed ring of four pyrroles, called porphyrin (Wikipedia). Bilirubin is found to be associated with crigler-najjar syndrome type I, which is an inborn error of metabolism.",Bilirubin,HMDB0000054,b,b,C00486,BILIRUBIN,FDB021886,bilirub,[H]C([H])=C([H])C1=C(\C(N([H])C1=O)=C(/[H])C1=C(C(=C(N1[H])C([H])([H])C1=C(C(=C(N1[H])C(\[H])=C1/N([H])C(=O)C(=C1C([H])=C([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])[H])C([H])([H])[H],BPYKTIZUTYGOLE-IFADSCNNSA-L,"InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/p-2/b26-13-,27-14-"
4,2415,acetylcaranine,An organic heteropentacyclic compound that is caranine in which the hydroxy group is acetylated.,16720,KEGG COMPOUND accession,C10517,,,,,,,,,,,,,,,
5,8024,perindopril,"An alpha-amino acid ester that is the ethyl ester of N-{(2S)-1-[(2S,3aS,7aS)-2-carboxyoctahydro-1H-indol-1-yl]-1-oxopropan-2-yl}-L-norvaline",2719,KEGG COMPOUND accession,C02135,,,,,,,,,,,,,,,
6,4653,dipyridamole,"A pyrimidopyrimidine that is 2,2',2'',2'''-(pyrimido[5,4-d]pyrimidine-2,6-diyldinitrilo)tetraethanol substituted by piperidin-1-yl groups at positions 4 and 8 respectively. A vasodilator agent, it inhibits the formation of blood clots.",1808,KEGG COMPOUND accession,C07088,,,,,,,,,,,,,,,
7,4659,disulfiram,"An organic disulfide that results from the formal oxidative dimerisation of N,N-diethyldithiocarbamic acid.  A multi-enzyme inhibitor that is used in alcohol aversion therapy and also exhibits anticancer properties.",17346,KEGG COMPOUND accession,C03679,,,,,,,,,,,,,,,
8,7852,oxycodone,"A semisynthetic opioid of formula C18H21NO4 that is derived from thebaine.  It is a moderately potent opioid analgesic, generally used for relief of moderate to severe pain.",29016,KEGG COMPOUND accession,C02385,,,,,,,,,,,,,,,
9,10124,zolmitriptan,"A member of the class of tryptamines that is N,N-dimethyltryptamine in which the hydrogen at position 5 of the indole ring has been replaced by a [(4S)-2-oxo-1,3-oxazolidin-4-yl]methyl group. A serotonin 5-HT1 B and D receptor agonist, it is used for the treatment of migraine.",3490,KEGG COMPOUND accession,C08104,,,,,,,,,,,,,,,
