name,description,hmdb,moldb_smiles,moldb_formula,moldb_inchi,moldb_inchikey,moldb_iupac,moldb_logp,moldb_pka,moldb_average_mass,moldb_mono_mass,moldb_alogps_solubility,moldb_alogps_logp,moldb_alogps_logs,moldb_acceptor_count,moldb_donor_count,moldb_rotatable_bond_count,moldb_polar_surface_area,moldb_refractivity,moldb_polarizability,moldb_traditional_iupac,moldb_formal_charge,moldb_physiological_charge,moldb_pka_strongest_basic,moldb_pka_strongest_acidic,moldb_bioavailability,moldb_number_of_rings,moldb_rule_of_five,moldb_ghose_filter,moldb_veber_rule,moldb_mddr_like_rule,mdbid,panel_marker_id
0,1-Methylhistidine,"1-Methylhistidine, also known as 1-MHis or 1MH, belongs to the class of organic compounds known as histidine and derivatives. 1MH is also classified as a methylamino acid. Methylamino acids are primarily proteogenic amino acids (found in proteins) which have been methylated (in situ) on their side chains by various methyltransferase enzymes. Histidine can be methylated at either the N1 or N3 position of its imidazole ring, yielding the isomers 1-methylhistidine (1MH; also referred to as pi-methylhistidine) or 3-methylhistidine (3MH; tau-methylhistidine), respectively. There is considerable confusion with regard to the nomenclature of the methylated nitrogen atoms on the imidazole ring of histidine and other histidine-containing peptides such as anserine. In particular, older literature (mostly prior to the year 2000) designated anserine (Npi methylated) as beta-alanyl-N1-methyl-histidine, whereas according to standard IUPAC nomenclature, anserine is correctly named as beta-alanyl-N3-methyl-histidine. As a result, many papers published prior to the year 2000 incorrectly identified 1MH as a specific marker for dietary consumption or various pathophysiological effects when they really were referring to 3MH (PMID: 24137022 ). Recent discoveries have shown that 1MH is produced in essentially all mammals (and other vertebrates) via the enzyme known as METTL9 (PMID: 33563959 ). METTL9 is a broad-specific methyltransferase that mediates the formation of the majority of 1MH present in mammalian proteomes. METTL9-catalyzed methylation requires a His-x-His (HxH) motif, where ""x"" is a small amino acid. This HxH motif is found in a number of abundant mammalian proteins such as ARMC6, S100A9, and NDUFV3 (PMID: 33563959 ). Because of its abundance in many muscle-related proteins, 1MH has been found to be a good biomarker for the consumption of meat (PMID: 21527577 ). Dietary studies have shown that poultry consumption (p-trend = 0.0006) and chicken consumption (p-trend = 0.0003) are associated with increased levels of 1MH in human plasma (PMID: 30018457 ). The consumption of fish, especially salmon and cod, has also been shown to increase the levels of 1MH in serum and urine (PMID: 31401679 ). As a general rule, urinary 1MH is associated with white meat intake (p< 0.001), whereas urinary 3MH is associated with red meat intake (p< 0.001) (PMID: 34091671 ). 1-Methylhistidine as been found to be associated with chronic kidney disease where higher the N-acetyl-1-methylhistidine levels, the lower the estimated glomerular filtration rate and this is seen at a concentration of 85.5 (17.7-153.8) umol/mmol creatinine (PMID: 10838467). It is also an indicator of early-onset preeclampsia in the first-trimester in pregnant women (PMID: 22494326) and this is seen as a significant increase in its concentration in blood from a normal concentration of 12.7 (9.8-15.6) uM to an abnormal concentration of 50.0 (44.2-55.8) uM. 1-Methylhistidine is also involved in other conditions such as late-onset preeclampsia (PMID: 23159745), obesity (PMID: 15899597) and Alzheimer’s disease (PMID : 17031479) where it is found to be elevated in blood in individuats with late-onset preeclampsia and Alzheimer’s disease and elevated in urine in obese individuals.",HMDB0000001,CN1C=NC(C[C@H](N)C(O)=O)=C1,C7H11N3O2,"1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",BRMWTNUJHUMWMS-LURJTMIESA-N,2-amino-3-(1-methyl-1H-imidazol-4-yl)propanoic acid hydrate,-3.0704187479965057,,169.1811,169.085126611,6.93e+00 g/l,-2.95,-1.39,4,2,3,81.14,42.39,17.096998267038032,4-methyl-histidine hydrate,0,0,9.2503166513801,1.9645875066516765,1,1,1,0,0,0,MDB00000001,"5184,5199,5206,5236,5288,5291,5313,5338,5440,5441"
1,"1,3-Diaminopropane","1,3-Diaminopropane, also known as trimethylenediamine, is a colorless, flammable and highly hydroscopic fluid that has a fishy odor. It is a polyamine that is normally quite toxic if swallowed, inhaled or absorbed through the skin. It is a catabolic byproduct of spermidine. It is also a precursor in the enzymatic synthesis of beta-alanine. 1,3-Diaminopropane is involved in the arginine/proline metabolic pathways and the beta-alanine metabolic pathway. 1,3-Diaminopropane was first detected in the urine of patients suffering from cystinuria and cystinlysinuria in 1971 (PMID: 5096953).",HMDB0000002,NCCCN,C3H10N2,1S/C3H10N2/c4-2-1-3-5/h1-5H2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,"propane-1,3-diamine",-1.362482935,,74.1249,74.08439833,4.37e+02 g/l,-1.41,0.77,2,2,2,52.04,22.734,9.059383875573538,"α,ω-propanediamine",0,2,10.169241483553524,,1,0,1,0,0,0,MDB00000002,5300
2,2-Hydroxybutyric acid,"2-Hydroxybutyric acid (CAS: 600-15-7), also known as alpha-hydroxybutyrate, is an organic acid derived from alpha-ketobutyrate. alpha-Ketobutyrate is produced by amino acid catabolism (threonine and methionine) and glutathione anabolism (cysteine formation pathway) and is metabolized into propionyl-CoA and carbon dioxide (PMID: 20526369 ). 2-Hydroxybutyric acid is formed as a byproduct from the formation of alpha-ketobutyrate via a reaction catalyzed by lactate dehydrogenase (LDH) or alpha-hydroxybutyrate dehydrogenase (alphaHBDH). alpha-Hydroxybutyric acid is primarily produced in mammalian hepatic tissues that catabolize L-threonine or synthesize glutathione. Oxidative stress or detoxification of xenobiotics in the liver can dramatically increase the rate of hepatic glutathione synthesis. Under such metabolic stress conditions, supplies of L-cysteine for glutathione synthesis become limiting, so homocysteine is diverted from the transmethylation pathway (which forms methionine) into the transsulfuration pathway (which forms cystathionine). alpha-Ketobutyrate is released as a byproduct when cystathionine is cleaved into cysteine that is incorporated into glutathione. Chronic shifts in the rate of glutathione synthesis may be reflected by urinary excretion of 2-hydroxybutyrate. 2-Hydroxybutyrate is an early marker for both insulin resistance and impaired glucose regulation that appears to arise due to increased lipid oxidation and oxidative stress (PMID: 20526369 ). 2-Hydroxybutyric acid is often found in the urine of patients suffering from lactic acidosis and ketoacidosis. 2-Hydroxybutyric acid generally appears at high concentrations in situations related to deficient energy metabolism (e.g. birth asphyxia) and also in inherited metabolic diseases affecting the central nervous system during neonatal development, such as ""cerebral"" lactic acidosis, glutaric aciduria type II, dihydrolipoyl dehydrogenase (E3) deficiency, and propionic acidemia. More recently it has been noted that elevated levels of alpha-hydroxybutyrate in the plasma is a good marker for early-stage type II diabetes (PMID: 19166731 ). It was concluded from studies done in the mid-1970s that an increased NADH2/NAD ratio was the most important factor for the production of 2-hydroxybutyric acid (PMID: 168632 ).",HMDB0000008,CCC(O)C(O)=O,C4H8O3,"1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)",AFENDNXGAFYKQO-UHFFFAOYSA-N,(2S)-2-hydroxybutanoic acid,0.050692876999999914,14.293154365104638,104.1045,104.047344122,4.84e+02 g/l,-0.16,0.67,3,2,2,57.53,23.3638,9.984831454501116,(S)-2-hydroxybutyric acid,0,-1,-3.7935876935907205,3.989998858113875,1,0,1,0,0,0,MDB00000004,"5338,5440,5497"
3,2-Methoxyestrone,2-Methoxyestrone is a steroid derivative that is a byproduct of estrone and 2-hydroxyestrone metabolism. It is part of the androgen and estrogen metabolic pathway. The pKa of 2-methoxyestrone is 10.81 (PMID: 516114). 2-Methoxyestrone can be metabolized to a sulfated derivative (2-Methoxyestrone 3-sulfate) via steroid sulfotransferase (EC 2.8.2.15). It can also be glucuronidated to 2-Methoxyestrone 3-glucuronide by UDP glucuronosyltransferase (EC 2.4.1.17).↵,HMDB0000010,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,C19H24O3,"1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,20H,3-8H2,1-2H3/t12-,13+,15-,19-/m0/s1",WHEUWNKSCXYKBU-QPWUGHHJSA-N,"(1S,10R,11S,15S)-5-hydroxy-4-methoxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-14-one",4.151357768333334,19.957534419499726,300.3921,300.172544634,7.49e-03 g/l,3.50,-4.60,3,1,1,46.53,85.54559999999998,34.336101957967095,"(1S,10R,11S,15S)-5-hydroxy-4-methoxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-trien-14-one",0,0,-4.8825219384223155,10.290800079568816,1,4,1,1,0,0,MDB00000005,
4,(R)-3-Hydroxybutyric acid,"(R)-3-Hydroxybutyric acid is a butyric acid substituted with a hydroxyl group in the beta or 3 position. It is involved in the synthesis and degradation of ketone bodies. Like the other ketone bodies (acetoacetate and acetone), levels of beta-hydroxybutyrate are raised in the blood and urine in ketosis. Beta-hydroxybutyrate is a typical partial-degradation product of branched-chain amino acids (primarily valine) released from muscle for hepatic and renal gluconeogenesis This acid is metabolized by 3-hydroxybutyrate dehydrogenase (catalyzes the oxidation of D-3-hydroxybutyrate to form acetoacetate, using NAD+ as an electron acceptor). The enzyme functions in nervous tissues and muscles, enabling the use of circulating hydroxybutyrate as a fuel. In the liver mitochondrial matrix, the enzyme can also catalyze the reverse reaction, a step in ketogenesis. 3-Hydroxybutyric acid is a chiral compound having two enantiomers, D-3-hydroxybutyric acid and L-3-hydroxybutyric acid. In humans, beta-hydroxybutyrate is synthesized in the liver from acetyl-CoA, and can be used as an energy source by the brain when blood glucose is low. It can also be used for the synthesis of biodegradable plastics (Wikipedia).↵",HMDB0000011,C[C@@H](O)CC(O)=O,C4H8O3,"1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/t3-/m1/s1",WHBMMWSBFZVSSR-GSVOUGTGSA-N,(3R)-3-hydroxybutanoic acid,-0.38700599933333335,15.695695082377142,104.1045,104.047344122,5.39e+02 g/l,-0.50,0.71,3,2,2,57.53,23.464100000000002,9.959788970081753,(-)-3-hydroxybutyric acid,0,-1,-2.6205133689113183,4.406291419798768,1,0,1,0,0,0,MDB00000006,"5173,5179,5183,5199,5200,5212,5237,5269,5305,5313,5321,5338,5360,5361,5421,5438,5440,5441,5446,5452,5465,5546"
5,Deoxyuridine,"2'-Deoxyuridine is a naturally occurring nucleoside. It is similar in chemical structure to uridine, but without the 2'-hydroxyl group. It is considered to be an antimetabolite that is converted to deoxyuridine triphosphate during DNA synthesis. Laboratory suppression of deoxyuridine is used to diagnose megaloblastic anemia due to vitamin B12 and folate deficiencies. Deoxyuridine exists in all living organisms and can become part of DNA in both prokaryotic and eukaryotic cells through two mechanisms. The first is the removal of an amino group from cytosine to result in uracil and the second is through the non-intentional incorporation of pyrimidine where thymine belongs in the DNA, resulting in deoxyuridine monophosphate (dUMP).",HMDB0000012,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,C9H12N2O5,"1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",MXHRCPNRJAMMIM-SHYZEUOFSA-N,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione",-1.514604078666666,13.907903439872065,228.202,228.074621504,9.06e+01 g/l,-1.49,-0.40,5,3,2,99.1,51.05490000000001,21.061427774885466,2'-deoxyuridine,0,0,-2.9780835884997945,9.705729612726527,1,2,1,0,0,0,MDB00000007,"5313,5548"
6,Cortexolone,"Cortexolone, also known as cortodoxone or 11-deoxycortisol, belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone. Thus, cortexolone is considered to be a steroid molecule. Cortexolone is an endogenous glucocorticoid steroid hormone, and a metabolic intermediate in the synthesis of cortisol. It was first described by Tadeusz Reichstein in 1938 and named as Substance S. It has also been referred to as Reichstein's Substance S or Compound S. Cortexolone acts as a glucocorticoid, though it is less potent than cortisol. Cortexolone is synthesized from 17alpha-hydroxyprogesterone by 21-hydroxylase and is converted to cortisol by 11beta-hydroxylase. As a result, the level of cortexolone is often measured in patients to diagnose impaired cortisol synthesis, to identify any enzyme deficiency that may be causing impairment along the pathway to cortisol, and to differentiate adrenal disorders. Cortexolone in mammals has limited biological activity and mainly acts as metabolic intermediate within the glucocorticoid pathway, leading to cortisol. On the other hand, in sea lampreys, cortexolone is the major glucocorticoid, with mineralocorticoid activity. Cortexolone in sea lampreys binds to specific corticosteroid receptors and is involved in intestinal osmoregulation and in sea lamprey at metamorphosis, a process in which they develop seawater tolerance before downstream migration. Accumulation of Cortexolone in humans can happen in a defect known as congenital adrenal hyperplasia, which is due to 11-beta-hydroxylase deficiency, resulting in androgen excess, virilization, and hypertension (PMID: 2022736 ). Cortexolone has been associated with 11-beta-Hydroxylase deficiency in young humans where in 11-beta-Hydroxylase deficiency, shows an increased concentration of 1.8 uM compared to a 0.06 uM in normal condition infants.",HMDB0000015,[H]C12CC[C@](O)(C(=O)CO)[C@@]1(C)CCC1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O4,"1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16?,17?,19+,20+,21+/m1/s1",WHBHBVVOGNECLV-HMGFGKNBSA-N,"(1S,2R,10R,11S,14R,15S)-14-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one",2.5839312316666665,13.905648730473413,346.4605,346.214409448,2.50e-02 g/l,2.79,-4.14,4,2,2,74.6,95.80749999999995,38.86084842151295,"(1S,2R,10R,11S,14R,15S)-14-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one",0,0,-3.329982616090181,12.591037618857374,1,4,1,1,0,0,MDB00000009,"5355,5356"
7,Deoxycorticosterone,"Deoxycorticosterone is a steroid or mineralocorticoid secreted by the zona fasiculata of the adrenal cortex. Deoxycorticsterone acts as a precursor to aldosterone. Deoxycorticosterone is not a major secretory hormone. It is produced from progesterone by 21beta-hydroxylase and is converted to corticosterone by 11beta-hydroxylase. Corticosterone is then converted to aldosterone by aldosterone synthase. Deoxycorticosterone stimulates the collecting tubules in the kidney to continue to excrete potassium in much the same way that aldosterone does. Deoxycorticosterone has about 1/20 of the sodium retaining power of aldosterone and about 1/5 the potassium excreting power of aldosterone [Wikipedia]. Deoxycorticosterone can be used to treat adrenal insufficiency. In particular, desoxycorticosterone acetate (DOCA) is used as replacement therapy in Addison's disease.↵",HMDB0000016,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O3,"1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",ZESRJSPZRDMNHY-YFWFAHHUSA-N,"(1S,2R,10S,11S,14S,15S)-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one",3.3313563546666676,19.087225406758208,330.4611,330.219494826,1.67e-02 g/l,3.10,-4.30,3,1,2,54.37,94.40749999999997,38.18996451471434,"(1S,2R,10S,11S,14S,15S)-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one",0,0,-3.295317874239208,13.864723909946662,1,4,1,1,0,0,MDB00000010,5405
8,Alpha-ketoisovaleric acid,"alpha-Ketoisovaleric acid is an abnormal organic acid that arises from the incomplete breakdown of branched-chain amino acids. alpha-Ketoisovaleric acid is a neurotoxin, an acidogen, and a metabotoxin. A neurotoxin causes damage to nerve cells and nerve tissues. An acidogen is an acidic compound that induces acidosis, which has multiple adverse effects on many organ systems. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of alpha-ketoisovaleric acid are associated with maple syrup urine disease. MSUD is a metabolic disorder caused by a deficiency of the branched-chain alpha-keto acid dehydrogenase complex (BCKDC), leading to a buildup of the branched-chain amino acids (leucine, isoleucine, and valine) and their toxic by-products (ketoacids) in the blood and urine. The symptoms of MSUD often show in infancy and lead to severe brain damage if untreated. MSUD may also present later depending on the severity of the disease. If left untreated in older individuals, during times of metabolic crisis, symptoms of the condition include uncharacteristically inappropriate, extreme, or erratic behaviour and moods, hallucinations, anorexia, weight loss, anemia, diarrhea, vomiting, dehydration, lethargy, oscillating hypertonia and hypotonia, ataxia, seizures, hypoglycemia, ketoacidosis, opisthotonus, pancreatitis, rapid neurological decline, and coma. In maple syrup urine disease, the brain concentration of branched-chain ketoacids can increase 10- to 20-fold. This leads to a depletion of glutamate and a consequent reduction in the concentration of brain glutamine, aspartate, alanine, and other amino acids. The result is a compromise of energy metabolism because of a failure of the malate-aspartate shuttle and a diminished rate of protein synthesis (PMID: 15930465 ). alpha-Ketoisovaleric acid is a keto-acid, which is a subclass of organic acids. Abnormally high levels of organic acids in the blood (organic acidemia), urine (organic aciduria), the brain, and other tissues lead to general metabolic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated MSUD. Many affected children with organic acidemias experience intellectual disability or delayed development.",HMDB0000019,CC(C)C(=O)C(O)=O,C5H8O3,"1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",QHKABHOOEWYVLI-UHFFFAOYSA-N,3-methyl-2-oxobutanoic acid,1.3093960786666665,,116.1152,116.047344122,3.02e+01 g/l,0.49,-0.59,3,1,2,54.37,27.191100000000002,11.043255629982493,α-ketoisovalerate,0,-1,-9.71868553071473,3.3715855069017753,1,0,1,0,0,0,MDB00000012,"5206,5207"
9,p-Hydroxyphenylacetic acid,"p-Hydroxyphenylacetic acid, also known as 4-Hydroxyphenylacetic acid, is an oxidative deaminated metabolite of p-tyramine. It is also a metabolite of tyrosine that occurs via the breakdown of this amino acid through the action of enteric bacteria in the gut. The bacterial origin of this compound was confirmed by the finding that p-Hydroxyphenylacetic acid in urine decreased significantly after the use of the antibiotic neomycin. p-Hydroxyphenylacetic acid is also found in olive oil and beer and may be a marker for the consumption of these foods.↵",HMDB0000020,OC(=O)CC1=CC=C(O)C=C1,C8H8O3,"1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",XQXPVVBIMDBYFF-UHFFFAOYSA-N,2-(4-hydroxyphenyl)acetic acid,1.3074287836666667,9.508099347910598,152.1473,152.047344122,7.12e+00 g/l,0.93,-1.33,3,2,2,57.53,39.3465,14.826780263933244,4-hydroxyphenylacetic acid,0,-1,-5.9585563884254755,3.9984367127077793,1,1,1,0,0,0,MDB00000013,"5177,5304,5306,5313"
