name,value,disease,age,Gender,location,concentration,markerdb_id,method,id
1-Methylhistidine,33,Alzheimer's Disease,Adult: >=18 yrs old,Both,Urine,15.7 (11.7-19.7) umol/mmol creatinine,129,"Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).",17031479.0
1-Methylhistidine,5988,Preeclampsia/Eclampsia,Adult: >=18 yrs old,Female,Blood,50.7 uM,367357,,22494326.0
1-Methylhistidine,83,Chronic Kidney Disease,Adult: >=18 yrs old,Both,Blood,28.8 (10.6-47.0) uM,958,"Raj, D. S., Ouwendyk, M., Francoeur, R. & Pierratos, A. Plasma amino acid profile on nocturnal hemodialysis. Blood Purif 18, 97-102 (2000).",10838467.0
"1,3-Diaminopropane",207,Leukemia,Adult: >=18 yrs old,Both,Urine,0.96 (0.12-2.1) umol/mmol creatinine,1173,"Lee, S. H., Suh, J. W., Chung, B. C. & Kim, S. O. Polyamine profiles in the urine of patients with leukemia. Cancer Lett 122, 1-8 (1998).",9464484.0
2-Hydroxybutyric acid,286,Pyruvate Dehydrogenase Deficiency,Adult: >=18 yrs old,Both,Urine,25.0 umol/mmol creatinine,367359,OMIM 238331,
2-Hydroxybutyric acid,5988,Preeclampsia/Eclampsia,Adult: >=18 yrs old,Female,Blood,21.4 uM,367357,,22494326.0
2-Methoxyestrone,279,Prolactinoma,Adult: >=18 yrs old,Both,Urine,0.025 (0.020-0.030) umol/mmol creatinine,1606,"Lee, S. H., Nam, S. Y. & Chung, B. C. Altered profile of endogenous steroids in the urine of patients with prolactinoma. Clin Biochem 31, 529-535 (1998).",9812172.0
(R)-3-Hydroxybutyric acid,138,Fumarase Deficiency,Infant: 1 wk-2 yrs old,Male,Urine,351.9 umol/mmol creatinine,366625,,26078636.0
(R)-3-Hydroxybutyric acid,1624,Pyruvate Carboxylase Deficiency,Infant: 1 wk-2 yrs old,Unknown,Urine,8.4e+03 umol/mmol creatinine,366626,,28649521.0
(R)-3-Hydroxybutyric acid,115,Diabetes Mellitus Type 2,Adult: >=18 yrs old,Both,Urine,224.0 umol/mmol creatinine,662,"Bales, J. R., Higham, D. P., Howe, I., Nicholson, J. K. & Sadler, P. J. Use of high-resolution proton nuclear magnetic resonance spectroscopy for rapid multi-component analysis of urine. Clin Chem 30, 426-432 (1984).",6321058.0
(R)-3-Hydroxybutyric acid,222,Meningitis,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,430.0 (359.0-501.0) uM,1296,"Subramanian, A., Gupta, A., Saxena, S., Gupta, A., Kumar, R., Nigam, A., Kumar, R., Mandal, S. K. & Roy, R. Proton MR CSF analysis and a new software as predictors for the differentiation of meningitis in children. NMR Biomed 18, 213-225 (2005).",15627241.0
(R)-3-Hydroxybutyric acid,115,Diabetes Mellitus Type 2,Adult: >=18 yrs old,Both,Cerebrospinal_Fluid,6.4e+03 (5.4e+03-7.4e+03) uM,660,"Tasker, R. C., Lutman, D. & Peters, M. J. Hyperventilation in severe diabetic ketoacidosis. Pediatr Crit Care Med 6, 405-411 (2005).",15982426.0
(R)-3-Hydroxybutyric acid,42,Anoxia,Adult: >=18 yrs old,Both,Cellular_Cytoplasm,2.6e+03 (2.5e+03-2.7e+03) uM,332,"Zupke, C., Sinskey, A. J. & Stephanopoulos, G. Intracellular flux analysis applied to the effect of dissolved oxygen on hybridomas. Appl Microbiol Biotechnol 44, 27-36 (1995).",8579834.0
(R)-3-Hydroxybutyric acid,18,Medium Chain Acyl Co A Dehydrogenase Deficiency,Infant: 1 wk-2 yrs old,Unknown,Blood,1.0e+03 (700.0-1.3e+03) uM,366620,,11489939.0
(R)-3-Hydroxybutyric acid,3049,Pyruvate Dehydrogenase Phosphatase Deficiency,Infant: 1 wk-2 yrs old,Male,Blood,1.8e+03 uM,312804,"Robinson, B. H. & Sherwood, W. G. Pyruvate dehydrogenase phosphatase deficiency: a cause of congenital chronic lactic acidosis in infancy. Pediatr Res 9, 935-939 (1975).",172850.0
(R)-3-Hydroxybutyric acid,16,Long Chain 3 Hydroxyacyl Co A Dehydrogenase Deficiency,Infant: 1 wk-2 yrs old,Unknown,Blood,140.0 (80.0-200.0) uM,366620,,11489939.0
(R)-3-Hydroxybutyric acid,4281,3 Hydroxyacyl Co A Dehydrogenase Deficiency,Infant: 1 wk-2 yrs old,Female,Blood,1.5e+03 (200.0-2.8e+03) uM,367366,,11241047.0
(R)-3-Hydroxybutyric acid,5988,Preeclampsia/Eclampsia,Adult: >=18 yrs old,Female,Blood,31.6 uM,367357,,22494326.0
(R)-3-Hydroxybutyric acid,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency,Infant: 1 wk-2 yrs old,Female,Blood,64.0 uM,366616,,12072887.0
(R)-3-Hydroxybutyric acid,1506,Carnitine Palmitoyltransferase I Deficiency,Children: 2-17 yrs old,Male,Blood,100.0 (-2.4e+03-100.0) uM,367347,,11286380.0
(R)-3-Hydroxybutyric acid,251,Obesity,Adult: >=18 yrs old,Female,Blood,235.0 (218.0-252.0) uM,1427,"Vice, E., Privette, J. D., Hickner, R. C. & Barakat, H. A. Ketone body metabolism in lean and obese women. Metabolism 54, 1542-1545 (2005).",16253646.0
(R)-3-Hydroxybutyric acid,133,Schizophrenia,Adult: >=18 yrs old,Both,Blood,17.6 (13.8-21.4) uM,366621,,25004141.0
(R)-3-Hydroxybutyric acid,115,Diabetes Mellitus Type 2,Adult: >=18 yrs old,Both,Blood,1.4e+03 (1.3e+03-1.5e+03) uM,659,"Sheikh-Ali, M., Karon, B. S., Basu, A., Kudva, Y. C., Muller, L. A., Xu, J., Schwenk, W. F. & Miles, J. M. Can serum beta-hydroxybutyrate be used to diagnose diabetic ketoacidosis? Diabetes Care 31, 643-647 (2008).",18184896.0
Deoxyuridine,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,1.2 umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Cortexolone,2,11 Beta Hydroxylase Deficiency,Infant: 1 wk-2 yrs old,Female,Blood,1.8 uM,366635,,8933406.0
Deoxycorticosterone,1088,Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency,Adult: >=18 yrs old,Female,Blood,0.0012 uM,366636,,26161337.0
Alpha-ketoisovaleric acid,220,Maple Syrup Urine Disease,Adult: >=18 yrs old,Both,Urine,550.0 (300.0-800.0) umol/mmol creatinine,367339,MetaGene: Metabolic & Genetic Information Center ,
Alpha-ketoisovaleric acid,220,Maple Syrup Urine Disease,Children: 2-17 yrs old,Female,Blood,237.0 uM,367336,Peritoneal dialysis in maple-syrup-urine disease: Studies on branched-chain amino and keto acids. Eur J Pediatr (1980) 134: 57.,
p-Hydroxyphenylacetic acid,267,Phenylketonuria,Children: 2-17 yrs old,Both,Urine,44.6 (0-110.7) umol/mmol creatinine,366647,,4837567.0
p-Hydroxyphenylacetic acid,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,18.8 (0-40.4) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
p-Hydroxyphenylacetic acid,212,Lung Cancer,Unknown,Both,Urine,16.0 (1.00-31.0) umol/mmol creatinine,3,"Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).",18953024.0
p-Hydroxyphenylacetic acid,133,Schizophrenia,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.31 uM,765,"Kobayashi, K., Koide, Y., Yoshino, K. & Shohmori, T. [P-hydroxyphenylacetic acid concentrations in cerebrospinal fluid]. No To Shinkei 34, 769-774 (1982).",7126379.0
3-Methoxytyramine,262,Parkinson's Disease,Adult: >=18 yrs old,Unknown,Cerebrospinal_Fluid,0.00050 (0.00020-0.00080) uM,1459,"Loeffler, D. A., LeWitt, P. A., DeMaggio, A. J., Juneau, P. L., Milbury, P. E. & Matson, W. R. Markers of dopamine depletion and compensatory response in striatum and cerebrospinal fluid. J Neural Transm Park Dis Dement Sect 9, 45-53 (1995).",7605589.0
(S)-3-Hydroxyisobutyric acid,115,Diabetes Mellitus Type 2,Adult: >=18 yrs old,Both,Blood,38.0 (33.0-43.0) uM,687,"Avogaro, A. & Bier, D. M. Contribution of 3-hydroxyisobutyrate to the measurement of 3-hydroxybutyrate in human plasma: comparison of enzymatic and gas-liquid chromatography-mass spectrometry assays in normal and in diabetic subjects. J Lipid Res 30, 1811-1817 (1989).",2614280.0
3-O-Sulfogalactosylceramide (d18:1/24:0),5383,Mild Metachromatic Leukodystrophy,Adult: >=18 yrs old,Both,Urine,12.7 (1.2-24.2) umol/mmol creatinine,1323,"Natowicz, M. R., Prence, E. M., Chaturvedi, P. & Newburg, D. S. Urine sulfatides and the diagnosis of metachromatic leukodystrophy. Clin Chem 42, 232-238 (1996).",8595716.0
Tetrahydrobiopterin,244,Myocardial Infarction,Adult: >=18 yrs old,Both,Blood,0.0044 (0.0037-0.0051) uM,1408,"Yada, T., Kaji, S., Akasaka, T., Mochizuki, S., Ogasawara, Y., Tanemoto, K., Yoshida, K. & Kajiya, F. Changes of asymmetric dimethylarginine, nitric oxide, tetrahydrobiopterin, and oxidative stress in patients with acute myocardial infarction by medical treatments. Clin Hemorheol Microcirc 37, 269-276 (2007).",17726257.0
Biotin,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,58.2 (36.3-80.2) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Biotin,158,Head Injury,Unknown,Unknown,Cerebrospinal_Fluid,0.023 uM,367376,,18996865.0
Carnosine,72,Carnosinuria,Adult: >=18 yrs old,Unknown,Urine,84.8 (56.6-113.1) umol/mmol creatinine,491,"Furst, P. Amino acid metabolism in uremia. J Am Coll Nutr 8, 310-323 (1989).",2674258.0
Carnosine,33,Alzheimer's Disease,Adult: >=18 yrs old,Both,Urine,18.8 (8.5-29.1) umol/mmol creatinine,129,"Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).",17031479.0
Adenine,5823,Eosinophilic Esophagitis,Children: 2-17 yrs old,Unknown,Urine,7.2 (0.14-14.2) umol/mmol creatinine,367194,"Mordechai, Hien, and David S. Wishart",
Adenine,557,Lewy Body Dementia,Adult: >=18 yrs old,Both,Saliva,0.37 (0.16-0.58) uM,366614,,23857558.0
Aldosterone,1085,Lipoid Congenital Adrenal Hyperplasia,Infant: 1 wk-2 yrs old,Female,Urine,5.6e-05 umol/mmol creatinine,366890,,3841304.0
Aldosterone,1377,Antenatal Bartter Syndrome Type 2,Newborn: 0 day-1 wk,Female,Blood,0.0033 uM,366654,,26069767.0
Aldosterone,4011,Type 4B Bartter Syndrome,Newborn: 0 day-1 wk,Female,Blood,0.042 uM,366660,,18310267.0
Aldosterone,1088,Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency,Adolescent:13-18 yrs old,Female,Blood,1.1e-05 uM,366656,,16477341.0
Aldosterone,2278,Antenatal Bartter Syndrome Type 1,Newborn: 0 day-1 wk,Female,Blood,0.0036 uM,335449,"Adachi, M., Asakura, Y., Sato, Y., Tajima, T., Nakajima, T., Yamamoto, T. & Fujieda, K. Novel SLC12A1 (NKCC2) mutations in two families with Bartter syndrome type 1. Endocr J 54, 1003-1007 (2007).",17998760.0
Aldosterone,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal",Newborn: 0 day-1 wk,Female,Blood,0.00013 uM,198860,"Kim, C. J., Lin, L., Huang, N., Quigley, C. A., AvRuskin, T. W., Achermann, J. C. & Miller, W. L. Severe combined adrenal and gonadal deficiency caused by novel mutations in the cholesterol side chain cleavage enzyme, P450scc. J Clin Endocrinol Metab 93, 696-702 (2008).",18182448.0
Aldosterone,1098,Corticosterone Methyloxidase Type I Deficiency,Infant: 1 wk-2 yrs old,Female,Blood,7.8e-05 uM,366659,,27125267.0
Aldosterone,1085,Lipoid Congenital Adrenal Hyperplasia,Infant: 1 wk-2 yrs old,Female,Blood,6.9e-05 (-0.00035-6.9e-05) uM,367338,,9077535.0
Dihydrobiopterin,83,Chronic Kidney Disease,Adult: >=18 yrs old,Both,Blood,0.064 (0.059-0.068) uM,1152,"Yokoyama, K., Tajima, M., Yoshida, H., Nakayama, M., Tokutome, G., Sakagami, H. & Hosoya, T. Plasma pteridine concentrations in patients with chronic renal failure. Nephrol Dial Transplant 17, 1032-1036 (2002).",12032193.0
