abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
10fthf,2800-34-2,15637,"Human Metabolome Database (HMDB): 10-Formyltetrahydrofolate (10-CHO-THF) is form of tetrahydrofolate that acts as a donor of formyl groups in anabolism. In particular, 10-CHO-THF is used as a substrate in a number of formyltransferase reactions. It plays an important role in purine biosynthesis, where 10-CHO-THF is a substrate for phosphoribosylaminoimidazolecarboxamide formyltransferase, as well as in the formylation of the methionyl initiator tRNA (fMet-tRNA), when 10-CHO-THF is a substrate for methionyl-tRNA formyltransferase. 10-Formyltetrahydrofolate is a substrate for Trifunctional purine biosynthetic protein adenosine-3, Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase (mitochondrial), 10-formyltetrahydrofolate dehydrogenase, Folylpolyglutamate synthase (mitochondrial), Bifunctional purine biosynthesis protein PURH and C-1-tetrahydrofolate synthase (cytoplasmic).",10-Formyltetrahydrofolate,HMDB0000972,,,C00234,10-FORMYL-THF,FDB022345,10fthf,[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1"
10fthf5glu,,,,10-Formyltetrahydrofolate-[Glu](5),,,,,,,10fthf5glu,[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H],RGSLBOWMZCMTRA-UHFFFAOYSA-H,"InChI=1S/C40H51N11O19/c41-40-49-32-31(37(66)50-40)43-19(15-42-32)16-51(17-52)20-3-1-18(2-4-20)33(62)47-24(38(67)68)5-10-26(53)44-21(6-11-27(54)55)34(63)45-22(7-12-28(56)57)35(64)46-23(8-13-29(58)59)36(65)48-25(39(69)70)9-14-30(60)61/h1-4,17,19,21-25,43H,5-16H2,(H,44,53)(H,45,63)(H,46,64)(H,47,62)(H,48,65)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,67,68)(H,69,70)(H4,41,42,49,50,66)/p-6"
10fthf6glu,,,,10-Formyltetrahydrofolate-[Glu](6),,,,,,,10fthf6glu,[H]OC(=O)C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])=O)C([H])([H])C1([H])N([H])C2=C(N([H])C(=N[H])N=C2[O-])N([H])C1([H])[H])C(=O)O[H])C(=O)O[H])C(=O)O[H])C(=O)O[H])C(=O)O[H])C([H])([H])C([H])([H])C([O-])=O,SFFBEUFYOPMKMV-CWMPVMSNSA-G,"InChI=1S/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1"
10fthf7glu,,,,10-Formyltetrahydrofolate-[Glu](7),,,,,,,10fthf7glu,[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H],VTHHVZBTNSHUDD-UHFFFAOYSA-F,"InChI=1S/C50H65N13O25/c51-50-61-40-39(47(84)62-50)53-23(19-52-40)20-63(21-64)24-3-1-22(2-4-24)41(78)59-30(48(85)86)5-12-32(65)54-25(6-13-33(66)67)42(79)55-26(7-14-34(68)69)43(80)56-27(8-15-35(70)71)44(81)57-28(9-16-36(72)73)45(82)58-29(10-17-37(74)75)46(83)60-31(49(87)88)11-18-38(76)77/h1-4,21,23,25-31,53H,5-20H2,(H,54,65)(H,55,79)(H,56,80)(H,57,81)(H,58,82)(H,59,78)(H,60,83)(H,66,67)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,85,86)(H,87,88)(H4,51,52,61,62,84)/p-8"
10m3hddcaACP,,,,10-methyl-3-hydroxy-dodecanoyl-ACP,,,,,,,,,,
10m3hundecACP,,,,10-methyl-3-hydroxy-undecanoyl-ACP,,,,,,,,,,
10m3oddcaACP,,,,10-methyl-3-oxo-dodecanoyl-ACP,,,,,,,,,,
10m3oundecACP,,,,10-methyl-3-oxo-undecanoyl-ACP,,,,,,,,,,
10mddcaACP,,,,10-methyl-dodecanoyl-ACP,,,,,,,,,,
10mtddec2eACP,,,,10-methyl-trans-dodec-2-enoyl-ACP,,,,,,,,,,
